                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0396,                 3.5122,                 1.4349,                0.14875,                 0.2143,                0.12381,                0.05941,                 1.3302,                 3.0434,                 1.9095,             0.00027603,             0.00027603,             0.00027603
                      2,                 1.0759,                 2.7983,                 1.4361,                0.40425,                0.36984,                0.32361,                0.17959,                 1.3986,                 2.6491,                 1.9195,             0.00053543,             0.00053543,             0.00053543
                      3,                 1.0642,                 2.3844,                 1.4182,                0.36582,                 0.3982,                 0.3505,                0.20088,                 1.3828,                 2.3796,                 1.8774,              0.0007765,              0.0007765,              0.0007765
                      4,                 1.0444,                 2.1627,                 1.4005,                0.56917,                0.40397,                0.43505,                0.27193,                 1.3186,                 2.2707,                 1.8664,             0.00075053,             0.00075053,             0.00075053
                      5,                0.99014,                 1.9273,                 1.3582,                0.39907,                0.56711,                0.45094,                0.25864,                 1.3585,                 2.1153,                 1.8203,             0.00072304,             0.00072304,             0.00072304
                      6,                0.97123,                 1.8254,                 1.3423,                0.53184,                0.48406,                0.51937,                0.31635,                 1.2338,                  1.973,                  1.759,             0.00069556,             0.00069556,             0.00069556
                      7,                0.96023,                 1.7239,                 1.3321,                0.60739,                 0.4948,                0.56526,                0.36204,                 1.1945,                 1.8394,                 1.6765,             0.00066807,             0.00066807,             0.00066807
                      8,                0.90417,                 1.5589,                 1.2931,                0.58749,                 0.6243,                0.62943,                0.40872,                 1.1868,                 1.6529,                 1.6323,             0.00064058,             0.00064058,             0.00064058
                      9,                 0.9026,                 1.5115,                 1.2926,                0.58933,                0.59417,                0.60908,                0.37878,                 1.2395,                 1.6234,                 1.7713,             0.00061309,             0.00061309,             0.00061309
                     10,                0.86349,                 1.4429,                 1.2463,                0.75769,                0.61767,                0.71453,                0.45058,                 1.1863,                 1.4311,                  1.655,              0.0005856,              0.0005856,              0.0005856
                     11,                0.84637,                 1.3841,                 1.2443,                0.62649,                0.64196,                0.66995,                0.42876,                 1.2012,                  1.638,                 1.7339,             0.00055811,             0.00055811,             0.00055811
                     12,                0.82747,                 1.3219,                 1.2228,                0.66279,                 0.6665,                0.71004,                0.48658,                 1.1105,                 1.4779,                 1.6133,             0.00053062,             0.00053062,             0.00053062
                     13,                0.80666,                 1.2456,                 1.2122,                0.71827,                0.63336,                0.72203,                0.43942,                 1.1592,                  1.416,                 1.6568,             0.00050313,             0.00050313,             0.00050313
                     14,                0.78974,                 1.2125,                 1.1961,                0.68981,                0.71114,                0.72056,                0.48287,                 1.1246,                 1.4516,                 1.6037,             0.00047564,             0.00047564,             0.00047564
                     15,                0.77363,                 1.1581,                 1.1845,                0.74146,                0.68314,                 0.7579,                0.49326,                 1.1306,                 1.3927,                 1.5757,             0.00044815,             0.00044815,             0.00044815
                     16,                0.76056,                 1.1337,                 1.1801,                0.75679,                0.66163,                0.73691,                0.47845,                 1.1358,                 1.3776,                  1.611,             0.00042066,             0.00042066,             0.00042066
                     17,                0.73775,                 1.0756,                 1.1608,                0.67496,                0.69042,                0.72792,                0.48878,                 1.1061,                 1.3582,                  1.552,             0.00039318,             0.00039318,             0.00039318
                     18,                0.72294,                 1.0471,                 1.1489,                0.74937,                0.70259,                0.76061,                0.53364,                 1.0644,                 1.1968,                 1.5484,             0.00036569,             0.00036569,             0.00036569
                     19,                0.71205,                  1.024,                 1.1445,                0.69699,                0.71699,                0.76788,                0.53554,                 1.0963,                 1.2569,                 1.5713,              0.0003382,              0.0003382,              0.0003382
                     20,                0.70424,                0.99468,                 1.1382,                0.75559,                0.69232,                0.76569,                0.53841,                 1.0586,                 1.1648,                  1.545,             0.00031071,             0.00031071,             0.00031071
                     21,                0.69285,                0.89797,                 1.2168,                0.81087,                0.62835,                0.75894,                0.54457,                0.98082,                 1.1201,                 1.4893,             0.00028322,             0.00028322,             0.00028322
                     22,                0.64361,                0.77274,                 1.1738,                 0.7494,                  0.615,                0.74649,                0.54842,                 1.0256,                 1.2497,                 1.5285,             0.00025573,             0.00025573,             0.00025573
                     23,                0.60505,                0.71589,                 1.1379,                 0.7777,                0.64001,                0.77059,                0.56072,                 1.0294,                 1.1874,                 1.5288,             0.00022824,             0.00022824,             0.00022824
                     24,                0.58921,                0.66423,                 1.1239,                0.79619,                 0.6347,                0.78438,                0.56317,                0.99457,                 1.1776,                 1.4581,             0.00020075,             0.00020075,             0.00020075
                     25,                 0.5631,                0.64075,                 1.0986,                0.74717,                0.70644,                0.78368,                0.58154,                0.97798,                 1.1192,                 1.4615,             0.00017326,             0.00017326,             0.00017326
                     26,                0.54192,                0.59023,                  1.083,                0.78323,                0.65936,                0.79259,                0.57002,                0.98288,                 1.1017,                 1.4884,             0.00014577,             0.00014577,             0.00014577
                     27,                0.51459,                0.57242,                 1.0609,                0.76901,                0.70072,                 0.7948,                0.58938,                0.98659,                 1.0608,                 1.4919,             0.00011829,             0.00011829,             0.00011829
