                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4531,                 3.5624,                 1.8113,                0.27269,                0.30902,                0.18787,                0.08965,                 1.7928,                 2.7917,                 2.3061,             0.00022155,             0.00022155,             0.00022155
                      2,                 1.4732,                 2.7135,                 1.7732,                0.45946,                 0.2426,                 0.2873,                0.14494,                 1.7145,                 2.5853,                 2.2554,             0.00043509,             0.00043509,             0.00043509
                      3,                 1.4802,                 2.4596,                 1.7766,                0.27769,                0.37954,                0.33426,                0.16331,                 1.7742,                 2.2946,                  2.192,             0.00063983,             0.00063983,             0.00063983
                      4,                 1.4462,                 2.2547,                 1.7423,                0.60762,                0.46132,                0.46997,                0.25013,                 1.6888,                 2.0404,                 2.1279,             0.00062738,             0.00062738,             0.00062738
                      5,                 1.4043,                 2.0437,                 1.7003,                0.66384,                0.52014,                0.58108,                0.28621,                 1.6528,                 1.7472,                 2.0682,             0.00061417,             0.00061417,             0.00061417
                      6,                 1.3867,                 1.9519,                 1.6825,                0.49149,                0.55855,                0.57295,                0.32206,                 1.6221,                   1.79,                 2.0025,             0.00060097,             0.00060097,             0.00060097
                      7,                   1.34,                 1.8049,                 1.6427,                0.54895,                0.61661,                0.60327,                0.30134,                 1.6842,                 1.5917,                 2.0707,             0.00058776,             0.00058776,             0.00058776
                      8,                 1.3172,                 1.6909,                 1.6172,                0.49442,                0.62278,                0.54311,                0.30796,                 1.5893,                 1.6255,                 2.0029,             0.00057455,             0.00057455,             0.00057455
                      9,                 1.2783,                 1.6209,                 1.5942,                 0.6205,                0.52025,                0.58299,                0.32625,                 1.5596,                 1.5549,                 2.0203,             0.00056135,             0.00056135,             0.00056135
                     10,                 1.2401,                 1.5425,                 1.5606,                0.60652,                0.67756,                0.65846,                0.36853,                 1.5185,                 1.4496,                 1.9518,             0.00054814,             0.00054814,             0.00054814
                     11,                 1.2102,                 1.4673,                 1.5312,                 0.6314,                0.58679,                0.66376,                0.37515,                  1.543,                 1.4085,                 1.9668,             0.00053493,             0.00053493,             0.00053493
                     12,                 1.1605,                  1.382,                 1.4961,                0.70078,                0.70274,                0.74168,                0.43279,                 1.4533,                 1.2485,                 1.8662,             0.00052173,             0.00052173,             0.00052173
                     13,                 1.1493,                 1.3604,                 1.4862,                0.71161,                0.65149,                0.70048,                0.41399,                 1.4738,                 1.3157,                 1.9204,             0.00050852,             0.00050852,             0.00050852
                     14,                 1.1135,                 1.2767,                 1.4601,                0.74963,                0.68246,                0.70363,                0.41794,                 1.4806,                 1.2177,                 1.9262,             0.00049531,             0.00049531,             0.00049531
                     15,                 1.0816,                 1.2166,                 1.4321,                0.61491,                0.75221,                0.70988,                0.41969,                 1.5269,                 1.2219,                 1.9442,             0.00048211,             0.00048211,             0.00048211
                     16,                 1.0535,                 1.1758,                  1.413,                0.66656,                0.73814,                0.73363,                0.45163,                 1.4328,                 1.1814,                 1.8705,              0.0004689,              0.0004689,              0.0004689
                     17,                 1.0226,                 1.1246,                 1.3845,                0.73368,                0.66535,                0.74466,                0.46499,                 1.4604,                 1.1675,                 1.8967,             0.00045569,             0.00045569,             0.00045569
                     18,                0.98184,                 1.0801,                 1.3608,                0.70332,                0.71273,                0.75447,                 0.4745,                 1.4039,                 1.2181,                 1.8693,             0.00044249,             0.00044249,             0.00044249
                     19,                0.95191,                 1.0171,                 1.3329,                0.69526,                0.70643,                0.74195,                0.46173,                 1.4331,                 1.1531,                 1.8963,             0.00042928,             0.00042928,             0.00042928
                     20,                0.94556,                0.97974,                 1.3247,                0.68729,                0.76279,                0.73926,                0.45776,                 1.4365,                 1.1634,                 1.8986,             0.00041607,             0.00041607,             0.00041607
                     21,                0.90784,                0.96546,                 1.3048,                0.69093,                 0.6639,                 0.7358,                0.44431,                 1.4545,                 1.2113,                 1.8917,             0.00040287,             0.00040287,             0.00040287
                     22,                0.89704,                 0.9391,                 1.2911,                0.73833,                0.74363,                0.75131,                0.47917,                 1.4235,                 1.1357,                 1.8985,             0.00038966,             0.00038966,             0.00038966
                     23,                0.86943,                0.89644,                 1.2757,                0.77058,                0.70803,                0.77904,                0.48468,                 1.4118,                 1.0987,                 1.8807,             0.00037645,             0.00037645,             0.00037645
                     24,                 0.8409,                0.86516,                 1.2591,                0.68013,                0.77965,                0.75928,                0.49032,                 1.3813,                 1.0825,                 1.8361,             0.00036325,             0.00036325,             0.00036325
                     25,                 0.8365,                0.86165,                 1.2454,                0.75317,                0.72563,                0.77275,                0.50465,                 1.3673,                 1.0214,                 1.8791,             0.00035004,             0.00035004,             0.00035004
                     26,                0.80375,                0.80877,                 1.2187,                0.72299,                 0.7672,                0.77657,                0.52489,                 1.3198,                 1.0438,                 1.8739,             0.00033683,             0.00033683,             0.00033683
                     27,                0.78737,                0.79468,                 1.2111,                0.83886,                0.72305,                0.80887,                0.53679,                 1.3349,                0.97814,                 1.9087,             0.00032363,             0.00032363,             0.00032363
                     28,                0.77385,                  0.773,                 1.1996,                0.80866,                 0.7498,                 0.8136,                0.54352,                 1.3064,                 1.0111,                   1.87,             0.00031042,             0.00031042,             0.00031042
                     29,                0.75371,                0.75486,                 1.1836,                 0.8176,                0.72631,                0.81414,                0.52623,                 1.3686,                 1.0185,                 1.9429,             0.00029722,             0.00029722,             0.00029722
                     30,                 0.7307,                0.72313,                 1.1748,                0.83647,                0.73868,                0.81141,                  0.551,                 1.3254,                0.96736,                 1.9289,             0.00028401,             0.00028401,             0.00028401
                     31,                0.71016,                0.70272,                 1.1586,                0.78358,                0.73694,                0.78287,                0.53698,                 1.3027,                0.98062,                 1.8965,              0.0002708,              0.0002708,              0.0002708
                     32,                 0.6925,                0.67952,                 1.1525,                0.85277,                0.72411,                0.80552,                0.54711,                  1.272,                0.97294,                  1.884,              0.0002576,              0.0002576,              0.0002576
                     33,                0.68303,                0.67028,                 1.1461,                 0.8448,                0.72625,                0.79088,                0.53763,                 1.2767,                 1.0231,                  1.872,             0.00024439,             0.00024439,             0.00024439
                     34,                0.66792,                 0.6525,                  1.128,                0.81374,                0.73606,                0.80293,                0.54627,                 1.2769,                 1.0042,                 1.8946,             0.00023118,             0.00023118,             0.00023118
                     35,                0.65816,                0.64463,                  1.127,                0.84787,                0.72264,                0.81122,                0.54304,                 1.2973,                 0.9605,                 1.9615,             0.00021798,             0.00021798,             0.00021798
                     36,                0.63406,                0.62255,                 1.1113,                0.87669,                0.72799,                0.79549,                0.54455,                 1.2864,                 1.0113,                 1.8849,             0.00020477,             0.00020477,             0.00020477
                     37,                0.61671,                0.59577,                 1.1007,                0.84245,                0.73628,                 0.8049,                0.55301,                 1.2969,                0.98927,                 1.9611,             0.00019156,             0.00019156,             0.00019156
                     38,                0.61899,                0.59607,                 1.0981,                0.83496,                0.72129,                0.79443,                0.56645,                 1.2401,                0.99667,                 1.9045,             0.00017836,             0.00017836,             0.00017836
                     39,                 0.5929,                0.57389,                 1.0853,                0.82891,                0.73446,                0.80504,                0.56059,                 1.2616,                 1.0047,                  1.904,             0.00016515,             0.00016515,             0.00016515
                     40,                0.58867,                0.56579,                 1.0823,                0.80053,                 0.7717,                0.80129,                 0.5695,                  1.246,                 1.0038,                 1.9355,             0.00015194,             0.00015194,             0.00015194
                     41,                0.47762,                0.38045,                 1.0389,                0.88587,                0.71546,                 0.8103,                0.57165,                 1.2462,                 0.9929,                 1.9411,             0.00013874,             0.00013874,             0.00013874
                     42,                0.44765,                0.34297,                 1.0191,                0.82743,                0.74508,                0.80012,                0.55643,                  1.276,                 1.0609,                 1.9674,             0.00012553,             0.00012553,             0.00012553
                     43,                0.43332,                0.32256,                  1.008,                0.88081,                0.75051,                0.82572,                0.59372,                 1.2337,                0.96721,                 1.9783,             0.00011232,             0.00011232,             0.00011232
                     44,                0.40716,                 0.3049,                0.98696,                0.89252,                0.74451,                0.81868,                 0.5816,                 1.2289,                0.95715,                 1.9908,             9.9116e-05,             9.9116e-05,             9.9116e-05
                     45,                0.39039,                0.29326,                0.97452,                0.86335,                0.76819,                0.83124,                 0.5837,                 1.2551,                0.97627,                 2.0066,              8.591e-05,              8.591e-05,              8.591e-05
                     46,                0.37346,                0.27724,                0.95814,                 0.9038,                0.76717,                0.83259,                0.59703,                 1.1933,                0.95827,                 1.9504,             7.2703e-05,             7.2703e-05,             7.2703e-05
                     47,                0.35815,                0.26942,                0.94515,                0.87106,                0.78079,                0.83016,                0.60302,                 1.1947,                0.99619,                 1.9664,             5.9496e-05,             5.9496e-05,             5.9496e-05
                     48,                0.34475,                0.26084,                0.94326,                0.91363,                0.73643,                0.83209,                0.59407,                   1.19,                0.98285,                 2.0024,              4.629e-05,              4.629e-05,              4.629e-05
                     49,                0.33338,                 0.2534,                0.93227,                0.90177,                0.72881,                0.82223,                0.59711,                 1.1931,                0.97976,                 2.0107,             3.3083e-05,             3.3083e-05,             3.3083e-05
                     50,                0.32684,                0.24534,                0.92389,                0.87175,                0.76274,                0.82206,                0.60463,                 1.1852,                0.99357,                 2.0071,             1.9877e-05,             1.9877e-05,             1.9877e-05
