                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1184,                 3.8272,                 1.5764,                0.01292,                0.72666,                0.04059,                0.02116,                 1.2429,                 3.3938,                 1.7015,             0.00023342,             0.00023342,             0.00023342
                      2,                 1.0677,                 3.5871,                  1.541,                0.00503,                0.87462,                0.06482,                0.03472,                 1.2862,                 3.2778,                 1.7832,             0.00045587,             0.00045587,             0.00045587
                      3,                 1.1236,                 3.2931,                 1.5556,                0.26441,                0.15932,                 0.0689,                0.03035,                 1.4675,                 3.2089,                 1.9432,              0.0006626,              0.0006626,              0.0006626
                      4,                  1.213,                 3.1186,                 1.6417,                0.32821,                0.17861,                0.10424,                0.05109,                 1.8992,                 3.9324,                 2.3093,             0.00064331,             0.00064331,             0.00064331
                      5,                 1.1819,                 2.8765,                 1.5904,                0.12217,                0.31062,                0.16818,                0.08804,                 1.4824,                 3.0166,                 1.9204,             0.00061975,             0.00061975,             0.00061975
                      6,                 1.1675,                 2.7343,                 1.5675,                0.22986,                0.34203,                0.25453,                0.15265,                 1.3792,                 2.8381,                 1.8175,             0.00059619,             0.00059619,             0.00059619
                      7,                 1.0919,                 2.5802,                 1.5211,                0.34005,                0.38407,                0.30211,                0.16369,                 1.5116,                 2.6646,                 1.9535,             0.00057263,             0.00057263,             0.00057263
                      8,                  1.083,                 2.4382,                 1.4965,                0.43239,                0.42691,                0.30228,                 0.1555,                 1.4285,                 2.6426,                 1.8504,             0.00054907,             0.00054907,             0.00054907
                      9,                 1.0579,                 2.3127,                 1.4791,                0.34399,                0.39704,                0.35282,                0.20196,                 1.5314,                 2.3843,                 1.9449,              0.0005255,              0.0005255,              0.0005255
                     10,                 1.0265,                 2.2741,                 1.4693,                0.31119,                 0.4647,                0.35486,                0.20478,                 1.4128,                 2.3379,                 1.8473,             0.00050194,             0.00050194,             0.00050194
                     11,                 1.0454,                 2.1696,                  1.465,                 0.3713,                0.41656,                0.41444,                0.25339,                 1.3065,                 2.3084,                 1.7507,             0.00047838,             0.00047838,             0.00047838
                     12,                0.97734,                 2.0418,                 1.4146,                0.33678,                 0.5016,                0.41636,                 0.2452,                 1.3276,                 2.1681,                 1.7404,             0.00045482,             0.00045482,             0.00045482
                     13,                0.97681,                 2.0565,                 1.4359,                0.45228,                0.42115,                0.41781,                0.25446,                 1.3079,                 2.1243,                 1.7542,             0.00043126,             0.00043126,             0.00043126
                     14,                0.92886,                  1.961,                 1.3815,                0.39417,                0.62283,                 0.4759,                0.28095,                 1.3878,                 1.9642,                 1.7705,             0.00040769,             0.00040769,             0.00040769
                     15,                0.92765,                 1.8754,                 1.3668,                0.56214,                0.52299,                0.55053,                0.34268,                 1.2426,                 1.9053,                 1.6643,             0.00038413,             0.00038413,             0.00038413
                     16,                 0.9161,                  1.801,                  1.364,                0.49253,                0.57296,                0.56483,                0.35879,                 1.2734,                 1.8006,                 1.7059,             0.00036057,             0.00036057,             0.00036057
                     17,                  0.915,                 1.7738,                 1.3647,                0.54588,                0.54106,                0.57366,                0.36017,                 1.1812,                 1.8252,                 1.5883,             0.00033701,             0.00033701,             0.00033701
                     18,                0.88253,                 1.7244,                 1.3418,                 0.5434,                0.53511,                0.54387,                0.34871,                 1.1716,                 1.8156,                   1.56,             0.00031345,             0.00031345,             0.00031345
                     19,                0.89269,                 1.6906,                 1.3346,                0.49412,                0.57255,                0.55037,                0.35073,                 1.1832,                 1.8309,                 1.5861,             0.00028988,             0.00028988,             0.00028988
                     20,                0.89616,                 1.6792,                 1.3403,                0.50626,                0.65928,                0.57349,                0.37659,                 1.2089,                 1.7538,                 1.6116,             0.00026632,             0.00026632,             0.00026632
                     21,                0.87098,                 1.8228,                  1.418,                0.49447,                0.52468,                0.51001,                0.30852,                 1.2105,                 1.9926,                 1.6457,             0.00024276,             0.00024276,             0.00024276
                     22,                0.81804,                 1.5913,                 1.3788,                0.57898,                0.61639,                0.60603,                0.39648,                 1.1498,                 1.6724,                 1.5673,              0.0002192,              0.0002192,              0.0002192
                     23,                0.80903,                 1.5489,                 1.3708,                0.54081,                0.68542,                0.65084,                0.41757,                 1.2058,                 1.5291,                 1.6144,             0.00019564,             0.00019564,             0.00019564
                     24,                0.78197,                 1.4606,                  1.346,                0.62293,                0.66431,                0.66049,                0.45298,                 1.0981,                 1.5602,                 1.4866,             0.00017207,             0.00017207,             0.00017207
                     25,                0.74933,                 1.3786,                 1.3063,                0.63966,                0.58142,                0.66565,                0.45893,                 1.0956,                 1.5467,                  1.498,             0.00014851,             0.00014851,             0.00014851
                     26,                0.72048,                  1.336,                 1.2851,                0.64528,                0.70885,                0.67328,                0.46977,                 1.0954,                 1.4364,                 1.4973,             0.00012495,             0.00012495,             0.00012495
                     27,                0.72038,                 1.2866,                 1.2853,                0.65291,                0.67432,                 0.7059,                0.48105,                 1.0937,                 1.4509,                 1.4799,             0.00010139,             0.00010139,             0.00010139
                     28,                  0.688,                 1.2303,                 1.2557,                0.60943,                0.69416,                0.70222,                0.48335,                 1.0726,                  1.441,                 1.4648,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     29,                0.67547,                 1.2098,                 1.2304,                0.66329,                0.66394,                0.70633,                0.48264,                 1.0829,                 1.4415,                 1.4754,             5.4264e-05,             5.4264e-05,             5.4264e-05
                     30,                0.67132,                 1.1823,                 1.2355,                0.68485,                0.68375,                0.71475,                0.49442,                 1.0339,                 1.4095,                 1.4112,             3.0702e-05,             3.0702e-05,             3.0702e-05
