                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0188,                 3.4795,                 1.4158,                0.26393,                 0.2781,                0.19053,                 0.0993,                 1.4917,                   2.75,                 1.9936,             0.00027602,             0.00027602,             0.00027602
                      2,                 1.0296,                 2.7204,                 1.4102,                0.40536,                0.27275,                0.25532,                0.13004,                 1.6602,                 3.2458,                 2.0535,             0.00053542,             0.00053542,             0.00053542
                      3,                 1.0322,                 2.3023,                 1.3875,                0.46026,                0.30929,                0.31564,                0.16346,                 1.5042,                 2.7094,                 1.9773,             0.00077649,             0.00077649,             0.00077649
                      4,                 1.0185,                 2.0796,                  1.382,                0.58331,                0.53857,                 0.5373,                0.30626,                 1.3397,                 2.0495,                 1.8231,             0.00075053,             0.00075053,             0.00075053
                      5,                0.96881,                 1.9098,                 1.3384,                0.49289,                0.47533,                0.45823,                0.24527,                 1.3965,                 2.0899,                 1.8039,             0.00072304,             0.00072304,             0.00072304
                      6,                0.92129,                 1.7453,                 1.3068,                0.53565,                0.63823,                0.61027,                0.35545,                 1.3255,                 1.8069,                 1.7421,             0.00069556,             0.00069556,             0.00069556
                      7,                0.91868,                 1.6569,                 1.2952,                 0.5298,                0.60794,                0.58087,                0.34971,                 1.2106,                 1.7129,                 1.6459,             0.00066807,             0.00066807,             0.00066807
                      8,                0.87889,                 1.5495,                 1.2729,                0.56357,                  0.608,                0.60252,                0.36334,                 1.3096,                 1.6864,                 1.7597,             0.00064058,             0.00064058,             0.00064058
                      9,                0.86042,                 1.4692,                 1.2548,                0.63599,                0.66365,                0.66611,                0.42152,                  1.234,                 1.6914,                  1.677,             0.00061309,             0.00061309,             0.00061309
                     10,                0.85255,                 1.3969,                 1.2422,                0.61194,                0.72725,                0.72026,                0.49941,                 1.1017,                 1.4612,                 1.5131,              0.0005856,              0.0005856,              0.0005856
                     11,                0.81618,                 1.3327,                 1.2238,                0.65107,                 0.6891,                0.68967,                0.46961,                   1.14,                 1.4009,                 1.5687,             0.00055811,             0.00055811,             0.00055811
                     12,                0.80018,                 1.2727,                 1.2123,                0.61049,                0.60067,                0.64001,                0.42965,                 1.0977,                 1.4594,                 1.5048,             0.00053062,             0.00053062,             0.00053062
                     13,                0.77356,                 1.2061,                 1.1889,                0.72091,                0.68237,                0.72181,                0.49194,                 1.1895,                 1.4524,                 1.6217,             0.00050313,             0.00050313,             0.00050313
                     14,                0.76446,                 1.1733,                  1.184,                 0.7105,                0.59839,                0.69164,                0.44948,                 1.2031,                  1.471,                 1.5909,             0.00047564,             0.00047564,             0.00047564
                     15,                0.74864,                  1.126,                 1.1787,                0.64474,                0.71405,                0.73916,                0.48222,                 1.1894,                  1.343,                 1.5986,             0.00044815,             0.00044815,             0.00044815
                     16,                0.73016,                 1.0924,                 1.1597,                0.66719,                0.72677,                0.75595,                 0.5323,                 1.1336,                 1.2296,                 1.5568,             0.00042066,             0.00042066,             0.00042066
                     17,                0.70229,                 1.0298,                 1.1381,                0.73302,                0.69887,                0.78246,                 0.5368,                 1.0982,                 1.1974,                 1.5211,             0.00039318,             0.00039318,             0.00039318
                     18,                0.68721,                0.98166,                 1.1231,                0.77049,                0.63037,                0.74215,                0.48772,                 1.1833,                 1.3797,                 1.6185,             0.00036569,             0.00036569,             0.00036569
                     19,                0.68873,                0.96953,                 1.1341,                 0.7054,                0.69018,                0.76475,                0.53482,                 1.1105,                 1.1564,                 1.5431,              0.0003382,              0.0003382,              0.0003382
                     20,                 0.6655,                0.91031,                 1.1167,                0.72217,                0.72238,                0.77403,                0.53864,                 1.0839,                 1.2165,                 1.5047,             0.00031071,             0.00031071,             0.00031071
                     21,                0.66325,                0.88019,                 1.1936,                0.75264,                0.71649,                0.77192,                0.53469,                  1.062,                 1.1805,                 1.5046,             0.00028322,             0.00028322,             0.00028322
                     22,                0.62602,                 0.7604,                 1.1577,                0.76453,                0.66821,                0.76243,                0.53617,                0.99345,                 1.1533,                 1.4056,             0.00025573,             0.00025573,             0.00025573
                     23,                0.58045,                0.67793,                 1.1151,                0.80387,                0.71088,                  0.781,                0.54624,                 1.0392,                 1.1544,                 1.4838,             0.00022824,             0.00022824,             0.00022824
                     24,                0.57293,                0.66991,                 1.1106,                0.76621,                 0.7148,                0.76795,                0.53854,                 1.0647,                 1.1671,                 1.5609,             0.00020075,             0.00020075,             0.00020075
                     25,                0.54019,                 0.6081,                 1.0855,                0.76389,                0.71873,                0.76607,                0.53922,                 1.0682,                 1.2175,                 1.5207,             0.00017326,             0.00017326,             0.00017326
                     26,                0.51145,                0.56461,                 1.0613,                0.75945,                0.69025,                0.75761,                0.54289,                 1.0803,                 1.1872,                 1.5447,             0.00014577,             0.00014577,             0.00014577
                     27,                0.50537,                0.55679,                 1.0522,                0.71134,                0.70024,                0.76536,                0.55275,                 1.0496,                 1.2957,                 1.5255,             0.00011829,             0.00011829,             0.00011829
                     28,                0.47793,                0.53066,                  1.036,                0.78794,                0.72819,                0.77944,                0.55981,                  1.037,                 1.1523,                 1.4895,             9.0797e-05,             9.0797e-05,             9.0797e-05
                     29,                0.46854,                 0.4987,                 1.0244,                0.77309,                0.72669,                0.77521,                 0.5396,                 1.0427,                 1.1813,                 1.5196,             6.3308e-05,             6.3308e-05,             6.3308e-05
                     30,                0.44975,                0.49007,                 1.0109,                0.74526,                0.74036,                0.76846,                0.55315,                 1.0312,                 1.1698,                 1.5074,             3.5819e-05,             3.5819e-05,             3.5819e-05
