                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0484,                 3.5866,                 1.4193,                0.00423,                0.84864,                0.18062,                0.10403,                 1.3452,                  3.234,                 1.8292,             0.00027448,             0.00027448,             0.00027448
                      2,                  1.122,                 2.8805,                 1.4528,                 0.2252,                0.09373,                 0.0946,                0.04703,                 1.7413,                 3.1171,                 2.2718,             0.00054121,             0.00054121,             0.00054121
                      3,                 1.1969,                  2.691,                 1.5207,                0.32967,                0.24154,                0.17177,                0.08404,                 1.5953,                 3.1405,                 2.1359,             0.00079695,             0.00079695,             0.00079695
                      4,                 1.1946,                 2.5063,                 1.5138,                0.24049,                0.27788,                0.19955,                0.08718,                 2.0085,                 2.8122,                  2.353,             0.00078352,             0.00078352,             0.00078352
                      5,                 1.1612,                 2.3098,                 1.4842,                0.48966,                 0.3314,                0.34647,                0.16344,                 1.7524,                  2.533,                 2.2123,             0.00076703,             0.00076703,             0.00076703
                      6,                 1.1219,                 2.1615,                 1.4467,                0.44392,                0.37674,                0.37752,                0.20662,                 1.4952,                 2.5263,                 1.9753,             0.00075053,             0.00075053,             0.00075053
                      7,                 1.1025,                 2.0522,                 1.4371,                 0.3562,                0.47519,                0.37568,                0.20169,                 1.5296,                 2.4102,                 1.9439,             0.00073404,             0.00073404,             0.00073404
                      8,                 1.0774,                 1.9636,                 1.4075,                0.44941,                0.42503,                0.43653,                0.21972,                 1.5281,                 2.1868,                 2.0489,             0.00071755,             0.00071755,             0.00071755
                      9,                  1.047,                 1.8626,                 1.3968,                0.49867,                0.49703,                0.51364,                0.30697,                 1.4569,                 2.0446,                  1.919,             0.00070105,             0.00070105,             0.00070105
                     10,                 1.0027,                 1.7529,                 1.3497,                0.50574,                0.45211,                0.46713,                0.26245,                 1.4578,                 2.2283,                  1.964,             0.00068456,             0.00068456,             0.00068456
                     11,                0.98848,                 1.6781,                  1.349,                0.52304,                0.53829,                0.51021,                0.31892,                  1.305,                 2.0128,                 1.7783,             0.00066807,             0.00066807,             0.00066807
                     12,                0.96679,                 1.6434,                 1.3243,                0.56068,                0.53244,                0.54729,                0.33438,                 1.3719,                 1.8575,                 1.8655,             0.00065157,             0.00065157,             0.00065157
                     13,                0.95554,                 1.5963,                 1.3108,                0.62609,                0.49688,                0.54953,                0.32583,                 1.5233,                  1.818,                 1.9729,             0.00063508,             0.00063508,             0.00063508
                     14,                0.94172,                 1.5427,                 1.3153,                0.57006,                0.49312,                0.52487,                0.32333,                 1.3268,                 1.8254,                 1.7361,             0.00061859,             0.00061859,             0.00061859
                     15,                0.90763,                  1.455,                 1.2805,                0.49772,                0.52819,                0.54986,                0.32639,                 1.3352,                  1.842,                 1.7643,             0.00060209,             0.00060209,             0.00060209
                     16,                0.89423,                 1.3806,                 1.2738,                  0.535,                0.59097,                0.58808,                0.36147,                  1.337,                 1.7081,                  1.733,              0.0005856,              0.0005856,              0.0005856
                     17,                0.89549,                 1.3705,                 1.2722,                0.56636,                0.60444,                0.60621,                0.35976,                 1.3305,                 1.9664,                  1.774,             0.00056911,             0.00056911,             0.00056911
                     18,                0.87594,                 1.3409,                 1.2574,                0.56246,                0.54348,                0.57866,                0.38555,                 1.2476,                 1.7807,                 1.6768,             0.00055261,             0.00055261,             0.00055261
                     19,                 0.8447,                 1.2789,                 1.2276,                0.74959,                0.45565,                0.63143,                0.39452,                 1.2583,                 1.5324,                  1.677,             0.00053612,             0.00053612,             0.00053612
                     20,                0.83811,                 1.2458,                 1.2144,                0.60566,                0.59806,                0.63534,                0.40625,                 1.3021,                  1.719,                 1.7907,             0.00051963,             0.00051963,             0.00051963
                     21,                0.84308,                 1.2396,                 1.2323,                0.67091,                0.61348,                0.67214,                0.42657,                 1.2957,                 1.6527,                 1.7309,             0.00050313,             0.00050313,             0.00050313
                     22,                0.81282,                 1.1834,                 1.2096,                0.65651,                 0.5927,                0.67076,                0.43987,                 1.2177,                 1.7194,                 1.6588,             0.00048664,             0.00048664,             0.00048664
                     23,                 0.7995,                 1.1412,                 1.1897,                 0.6246,                 0.6351,                0.66688,                0.44311,                 1.2101,                 1.6439,                  1.693,             0.00047015,             0.00047015,             0.00047015
                     24,                0.78612,                 1.1151,                 1.1962,                0.65043,                0.66415,                0.69807,                0.46405,                 1.2053,                 1.5552,                 1.6804,             0.00045365,             0.00045365,             0.00045365
                     25,                0.77881,                 1.0955,                 1.1888,                0.59795,                0.63409,                0.66351,                0.42775,                 1.1912,                 1.6244,                 1.6584,             0.00043716,             0.00043716,             0.00043716
                     26,                0.77915,                 1.0729,                 1.1888,                0.62803,                0.64057,                0.64032,                0.41949,                 1.2032,                 1.6065,                  1.627,             0.00042066,             0.00042066,             0.00042066
                     27,                0.76237,                 1.0523,                 1.1741,                0.63619,                0.65329,                0.68997,                0.47279,                 1.2405,                 1.5605,                 1.7214,             0.00040417,             0.00040417,             0.00040417
