                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0492,                 3.5137,                 1.4418,                0.31709,                0.23033,                0.16587,                0.08985,                 1.3048,                 2.7881,                 1.8613,             0.00027604,             0.00027604,             0.00027604
                      2,                 1.0829,                 2.7963,                 1.4499,                0.33183,                 0.3706,                0.30852,                0.16467,                  1.453,                 2.7138,                 1.9992,             0.00054275,             0.00054275,             0.00054275
                      3,                 1.0796,                  2.408,                 1.4219,                0.43139,                0.31468,                0.29824,                0.15767,                 1.4045,                 2.5795,                 1.9639,             0.00079845,             0.00079845,             0.00079845
                      4,                  1.051,                 2.1584,                 1.4081,                0.42949,                0.47416,                0.41095,                0.20547,                 1.3505,                 2.3121,                 1.8316,             0.00078352,             0.00078352,             0.00078352
                      5,                 1.0172,                 1.9605,                  1.372,                0.61959,                0.49103,                0.55515,                0.32521,                 1.3209,                 1.8842,                 1.8071,             0.00076703,             0.00076703,             0.00076703
                      6,                0.99591,                 1.8399,                 1.3642,                0.49167,                0.54936,                0.51766,                0.32941,                 1.1949,                 1.9181,                 1.6634,             0.00075053,             0.00075053,             0.00075053
                      7,                0.95034,                 1.6832,                 1.3115,                0.54067,                 0.4911,                0.52173,                0.29698,                   1.26,                 2.0177,                   1.78,             0.00073404,             0.00073404,             0.00073404
                      8,                 0.9278,                  1.622,                 1.3057,                0.62183,                0.57567,                0.62949,                0.39139,                 1.1982,                 1.5741,                 1.6763,             0.00071755,             0.00071755,             0.00071755
                      9,                0.90448,                 1.5553,                 1.2882,                0.55079,                0.62333,                 0.5871,                0.37376,                 1.1802,                 1.6702,                 1.6409,             0.00070105,             0.00070105,             0.00070105
                     10,                0.88485,                 1.4785,                 1.2697,                0.61678,                0.52617,                0.57885,                 0.3692,                 1.2857,                 1.7107,                 1.6863,             0.00068456,             0.00068456,             0.00068456
                     11,                0.87382,                 1.4233,                 1.2624,                0.73531,                0.62733,                0.71093,                0.45198,                 1.2839,                 1.4403,                 1.7366,             0.00066807,             0.00066807,             0.00066807
                     12,                0.85712,                 1.3617,                 1.2476,                0.60072,                0.60426,                0.63781,                0.43531,                 1.1464,                 1.5245,                 1.6056,             0.00065157,             0.00065157,             0.00065157
                     13,                0.83613,                 1.3052,                 1.2339,                0.70371,                0.62647,                0.69209,                0.43457,                 1.1907,                 1.3669,                 1.6117,             0.00063508,             0.00063508,             0.00063508
                     14,                0.82846,                 1.2712,                 1.2193,                0.73776,                0.62502,                0.67332,                0.44831,                 1.1826,                 1.4619,                 1.5974,             0.00061859,             0.00061859,             0.00061859
                     15,                0.81641,                 1.2288,                 1.2208,                0.64352,                0.72505,                0.69428,                0.47643,                  1.121,                 1.3837,                 1.5862,             0.00060209,             0.00060209,             0.00060209
                     16,                0.80271,                 1.1843,                  1.204,                0.64182,                  0.616,                0.68603,                0.43635,                 1.1771,                 1.4152,                 1.6044,              0.0005856,              0.0005856,              0.0005856
                     17,                0.78466,                 1.1517,                 1.1893,                0.70061,                0.70619,                0.74998,                0.49935,                 1.1348,                 1.2585,                 1.5838,             0.00056911,             0.00056911,             0.00056911
                     18,                0.76955,                  1.112,                  1.177,                0.53566,                0.65842,                0.64288,                 0.4187,                 1.1892,                 1.6028,                 1.6144,             0.00055261,             0.00055261,             0.00055261
                     19,                 0.7528,                 1.0874,                 1.1675,                0.73205,                0.64814,                0.75384,                0.50522,                 1.0877,                 1.2127,                 1.5416,             0.00053612,             0.00053612,             0.00053612
                     20,                0.74504,                 1.0481,                 1.1634,                0.72409,                0.71996,                0.75896,                0.52225,                  1.098,                 1.1686,                 1.5678,             0.00051963,             0.00051963,             0.00051963
                     21,                0.74257,                  1.034,                 1.1598,                0.75603,                0.63742,                0.73961,                0.48261,                 1.1733,                 1.2901,                 1.5845,             0.00050313,             0.00050313,             0.00050313
                     22,                0.73731,                0.98951,                 1.1513,                0.79105,                0.60269,                0.74561,                0.49975,                 1.1275,                 1.3041,                 1.5589,             0.00048664,             0.00048664,             0.00048664
                     23,                0.71359,                0.98295,                 1.1461,                 0.6515,                0.71796,                 0.7262,                 0.5095,                  1.084,                 1.2662,                 1.5328,             0.00047015,             0.00047015,             0.00047015
                     24,                0.70891,                0.95706,                 1.1374,                0.75825,                0.60914,                0.71314,                0.48148,                 1.1465,                 1.4021,                 1.5893,             0.00045365,             0.00045365,             0.00045365
                     25,                0.70429,                0.94994,                 1.1351,                0.77797,                0.63891,                0.75257,                0.53531,                 1.0514,                 1.1644,                 1.4889,             0.00043716,             0.00043716,             0.00043716
                     26,                0.69412,                0.91675,                 1.1264,                0.71423,                0.71282,                0.74355,                0.49793,                 1.1085,                 1.1948,                 1.5519,             0.00042066,             0.00042066,             0.00042066
                     27,                0.67954,                0.88096,                 1.1153,                0.68449,                0.74261,                0.74938,                0.51724,                 1.0541,                 1.1709,                 1.4731,             0.00040417,             0.00040417,             0.00040417
                     28,                0.66586,                0.86358,                  1.099,                0.79519,                 0.6732,                0.76754,                0.54381,                 1.1078,                 1.2187,                 1.5777,             0.00038768,             0.00038768,             0.00038768
                     29,                0.66737,                0.85965,                 1.1026,                 0.7549,                0.65513,                0.72154,                0.50303,                  1.055,                 1.2357,                 1.5065,             0.00037118,             0.00037118,             0.00037118
                     30,                0.66095,                0.84813,                 1.1037,                0.71811,                0.71277,                0.74814,                0.53107,                  1.076,                 1.1509,                 1.5134,             0.00035469,             0.00035469,             0.00035469
                     31,                0.64431,                 0.8127,                 1.0897,                 0.7294,                 0.6916,                0.73638,                0.49582,                  1.169,                  1.226,                 1.6348,              0.0003382,              0.0003382,              0.0003382
                     32,                0.62479,                0.79281,                 1.0828,                0.72278,                0.67454,                0.74893,                0.53127,                 1.0624,                 1.1977,                 1.5174,              0.0003217,              0.0003217,              0.0003217
                     33,                0.62285,                0.78115,                 1.0774,                0.80555,                0.71433,                  0.798,                0.56599,                0.99515,                 1.0782,                 1.4505,             0.00030521,             0.00030521,             0.00030521
                     34,                0.62652,                0.77631,                 1.0818,                0.74455,                0.70334,                0.76394,                0.53537,                 1.0772,                 1.1474,                 1.5826,             0.00028872,             0.00028872,             0.00028872
                     35,                 0.6137,                0.76695,                 1.0752,                0.83138,                0.65912,                0.76987,                0.53537,                  1.089,                 1.1036,                 1.5516,             0.00027222,             0.00027222,             0.00027222
                     36,                0.60771,                0.74696,                 1.0658,                0.82415,                0.71641,                0.77872,                0.56284,                 1.0026,                 1.1123,                 1.4684,             0.00025573,             0.00025573,             0.00025573
                     37,                0.60059,                0.73191,                 1.0643,                0.69549,                 0.7241,                  0.747,                0.51128,                 1.1156,                 1.1768,                 1.5798,             0.00023924,             0.00023924,             0.00023924
                     38,                 0.5917,                0.72064,                 1.0601,                0.73665,                 0.7369,                 0.7916,                0.55456,                 1.0526,                  1.083,                 1.5019,             0.00022274,             0.00022274,             0.00022274
                     39,                0.59587,                0.70503,                 1.0602,                 0.7799,                0.68986,                0.77487,                0.53933,                  1.022,                 1.1275,                 1.4896,             0.00020625,             0.00020625,             0.00020625
                     40,                0.58145,                0.69881,                 1.0596,                0.82694,                0.65959,                0.79469,                0.55716,                 1.0554,                 1.0418,                 1.5351,             0.00018976,             0.00018976,             0.00018976
                     41,                0.54092,                0.59981,                 1.0809,                0.78128,                0.68271,                0.78003,                0.55483,                 1.0433,                 1.0998,                  1.515,             0.00017326,             0.00017326,             0.00017326
                     42,                0.50802,                0.52428,                 1.0554,                0.76099,                0.72997,                 0.7902,                0.53249,                 1.0803,                 1.1095,                 1.6393,             0.00015677,             0.00015677,             0.00015677
                     43,                0.48424,                 0.4801,                 1.0381,                0.80263,                0.71871,                0.79285,                0.53019,                 1.0741,                 1.0667,                 1.5804,             0.00014028,             0.00014028,             0.00014028
                     44,                 0.4737,                0.47798,                 1.0276,                0.78488,                  0.727,                0.79323,                0.55622,                 1.0124,                 1.0272,                 1.5249,             0.00012378,             0.00012378,             0.00012378
                     45,                0.45833,                0.45436,                 1.0117,                 0.8078,                0.77697,                0.81339,                0.57381,                0.98881,                 1.0331,                 1.5076,             0.00010729,             0.00010729,             0.00010729
                     46,                0.44688,                0.43682,                 1.0031,                0.79677,                0.75505,                0.80645,                0.57989,                 1.0392,                 1.0129,                 1.5742,             9.0797e-05,             9.0797e-05,             9.0797e-05
                     47,                0.43192,                0.41413,                 0.9954,                0.79165,                0.76315,                0.81005,                0.57184,                 1.0195,                 1.0466,                 1.5347,             7.4304e-05,             7.4304e-05,             7.4304e-05
                     48,                0.42493,                0.40755,                0.98845,                0.80841,                0.76616,                0.81734,                0.56122,                 1.0447,                 1.0595,                 1.5633,              5.781e-05,              5.781e-05,              5.781e-05
                     49,                0.41304,                0.40447,                0.97999,                0.83086,                0.72508,                 0.8072,                 0.5682,                  1.023,                 1.0675,                 1.5201,             4.1317e-05,             4.1317e-05,             4.1317e-05
                     50,                0.40961,                0.40057,                0.98234,                0.86893,                0.71548,                0.81448,                0.57718,                 1.0169,                 1.0495,                 1.5446,             2.4823e-05,             2.4823e-05,             2.4823e-05
