                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0477,                 3.8255,                 1.4172,                0.02137,                0.79394,                0.16112,                0.11711,                  1.153,                  3.539,                 1.4675,             0.00021863,             0.00021863,             0.00021863
                      2,                0.99718,                 3.0738,                 1.3636,                0.57066,                0.24091,                 0.2749,                0.19398,                 1.1988,                 2.7693,                 1.5632,              0.0004366,              0.0004366,              0.0004366
                      3,                 1.0154,                 2.6086,                 1.3539,                0.46098,                0.28081,                0.29211,                0.19523,                  1.571,                 3.0634,                 1.9357,             0.00065016,             0.00065016,             0.00065016
                      4,                0.99611,                  2.377,                 1.3448,                 0.6706,                0.28889,                0.32774,                0.23337,                 1.4038,                 2.7155,                 1.6479,             0.00064719,             0.00064719,             0.00064719
                      5,                0.97099,                  2.187,                 1.3173,                0.34491,                0.41032,                0.39244,                0.24873,                 1.3706,                 1.9697,                  1.686,             0.00064059,             0.00064059,             0.00064059
                      6,                0.93324,                 1.9276,                  1.283,                0.48489,                0.41517,                0.44236,                0.29647,                 1.3749,                 1.8684,                 1.6756,             0.00063398,             0.00063398,             0.00063398
                      7,                0.89437,                 1.8385,                 1.2593,                0.40521,                0.45241,                0.42648,                 0.2766,                 1.3652,                 2.3957,                 1.7022,             0.00062738,             0.00062738,             0.00062738
                      8,                 0.8903,                 1.7246,                 1.2445,                 0.5447,                0.49463,                0.43223,                0.29825,                 1.4204,                 2.0469,                 1.8576,             0.00062078,             0.00062078,             0.00062078
                      9,                0.85191,                 1.6316,                 1.2195,                0.36533,                0.43525,                0.44545,                0.28741,                 1.2369,                 2.1332,                 1.5941,             0.00061417,             0.00061417,             0.00061417
                     10,                0.85173,                 1.5625,                 1.2226,                0.49051,                0.31667,                0.39711,                  0.272,                 1.4084,                 2.0517,                 1.6963,             0.00060757,             0.00060757,             0.00060757
                     11,                0.81601,                 1.4897,                 1.1941,                0.50726,                0.36298,                0.41135,                0.32298,                 1.3839,                 2.0443,                 1.6301,             0.00060097,             0.00060097,             0.00060097
