                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4297,                 3.7703,                  1.799,                0.32128,                 0.2754,                0.12619,                0.05243,                 1.8448,                 3.5179,                 2.3419,             0.00023711,             0.00023711,             0.00023711
                      2,                 1.4642,                 2.9978,                 1.7895,                0.37547,                0.30336,                0.27968,                0.13715,                  1.736,                 2.7298,                 2.2077,             0.00047041,             0.00047041,             0.00047041
                      3,                 1.4733,                 2.6189,                 1.7683,                0.28494,                0.42369,                0.32424,                0.15148,                 1.8953,                  2.508,                 2.3051,             0.00069899,             0.00069899,             0.00069899
                      4,                 1.4467,                  2.401,                 1.7508,                0.56477,                 0.4458,                0.47784,                0.24222,                 1.6846,                 2.1553,                 2.0913,             0.00069279,             0.00069279,             0.00069279
                      5,                 1.4236,                  2.217,                 1.7252,                0.50592,                0.53683,                 0.5363,                0.28663,                  1.641,                 1.8736,                 2.0535,             0.00068573,             0.00068573,             0.00068573
                      6,                 1.3921,                 2.0614,                 1.6912,                0.48473,                0.57251,                0.56255,                0.31239,                 1.6463,                 1.9608,                 2.0303,             0.00067866,             0.00067866,             0.00067866
                      7,                 1.3642,                 1.9799,                 1.6654,                0.62946,                0.44162,                0.52664,                0.22514,                 1.7806,                 2.0284,                 2.2322,             0.00067159,             0.00067159,             0.00067159
                      8,                 1.3289,                 1.8634,                 1.6367,                0.51111,                0.55386,                0.53203,                0.29177,                 1.5637,                 1.8446,                 1.9788,             0.00066452,             0.00066452,             0.00066452
                      9,                 1.3089,                 1.8097,                 1.6209,                0.61386,                0.57052,                0.60493,                 0.3113,                  1.694,                 1.6811,                 2.1007,             0.00065745,             0.00065745,             0.00065745
                     10,                 1.2979,                 1.7542,                 1.6134,                0.66891,                0.52033,                0.56358,                0.31934,                 1.5909,                 1.7034,                 1.9937,             0.00065038,             0.00065038,             0.00065038
                     11,                  1.282,                 1.6951,                 1.5868,                0.59541,                 0.6489,                0.62358,                0.34435,                 1.5928,                 1.6179,                  2.003,             0.00064331,             0.00064331,             0.00064331
                     12,                 1.2538,                 1.6168,                 1.5729,                 0.6593,                0.58038,                0.61922,                0.33104,                 1.5926,                 1.6136,                  2.012,             0.00063625,             0.00063625,             0.00063625
                     13,                 1.2354,                 1.5636,                 1.5528,                0.68747,                0.68279,                0.71721,                0.40547,                 1.5792,                 1.4561,                 1.9711,             0.00062918,             0.00062918,             0.00062918
                     14,                 1.2194,                 1.5152,                 1.5351,                 0.7079,                0.62336,                 0.7241,                0.42801,                 1.5031,                  1.405,                 1.9267,             0.00062211,             0.00062211,             0.00062211
                     15,                 1.1915,                 1.4695,                 1.5211,                 0.7232,                0.66826,                0.72282,                0.41587,                 1.5459,                 1.3938,                 1.9433,             0.00061504,             0.00061504,             0.00061504
                     16,                 1.1826,                 1.4434,                 1.5085,                0.75414,                0.65958,                0.70174,                0.42058,                 1.5491,                 1.4857,                 1.9456,             0.00060797,             0.00060797,             0.00060797
                     17,                 1.1529,                 1.3733,                 1.4865,                0.77293,                0.62015,                0.73152,                0.44156,                 1.5638,                 1.4013,                 1.9666,              0.0006009,              0.0006009,              0.0006009
                     18,                 1.1332,                 1.3418,                  1.469,                0.77188,                0.71361,                0.75103,                0.43914,                 1.5514,                 1.4015,                 1.9763,             0.00059383,             0.00059383,             0.00059383
                     19,                  1.128,                  1.337,                 1.4674,                0.74228,                0.71716,                0.76659,                0.45726,                 1.5285,                 1.3364,                 1.9498,             0.00058677,             0.00058677,             0.00058677
                     20,                 1.1085,                 1.2986,                 1.4522,                  0.741,                0.69993,                0.72126,                0.43851,                 1.5573,                 1.3382,                 1.9801,              0.0005797,              0.0005797,              0.0005797
                     21,                 1.0877,                 1.2556,                 1.4255,                0.74384,                0.69749,                0.73883,                0.43882,                 1.4827,                 1.3344,                 1.9509,             0.00057263,             0.00057263,             0.00057263
                     22,                 1.0641,                 1.2369,                  1.425,                0.72677,                0.70659,                0.74284,                0.46451,                 1.4632,                 1.2962,                 1.9081,             0.00056556,             0.00056556,             0.00056556
                     23,                 1.0566,                 1.2048,                 1.4096,                 0.7078,                0.68772,                0.73994,                0.44436,                 1.4926,                 1.3498,                 1.9415,             0.00055849,             0.00055849,             0.00055849
                     24,                  1.046,                 1.1941,                 1.3963,                0.77766,                0.70933,                0.75943,                0.47271,                 1.4568,                 1.2469,                  1.911,             0.00055142,             0.00055142,             0.00055142
                     25,                 1.0277,                 1.1633,                 1.3882,                0.79323,                0.70927,                0.78257,                0.46224,                 1.4711,                 1.2376,                 1.9266,             0.00054435,             0.00054435,             0.00054435
                     26,                 1.0194,                 1.1305,                 1.3793,                0.74389,                0.70307,                0.76008,                0.46955,                 1.4346,                 1.2943,                 1.9273,             0.00053728,             0.00053728,             0.00053728
                     27,                 1.0019,                 1.1019,                 1.3623,                0.73662,                0.72266,                0.76046,                 0.4846,                 1.4575,                 1.2393,                 1.9412,             0.00053022,             0.00053022,             0.00053022
                     28,                0.98041,                 1.0888,                 1.3536,                 0.8006,                0.66959,                0.77265,                0.48782,                 1.4533,                 1.1778,                 1.9353,             0.00052315,             0.00052315,             0.00052315
                     29,                0.95801,                 1.0435,                 1.3317,                0.81754,                0.70207,                0.77513,                0.49088,                 1.4399,                 1.1647,                 1.9242,             0.00051608,             0.00051608,             0.00051608
                     30,                0.95695,                 1.0508,                 1.3345,                 0.7444,                0.72808,                0.77306,                0.49107,                 1.4041,                 1.1834,                 1.9066,             0.00050901,             0.00050901,             0.00050901
                     31,                0.96291,                 1.0459,                  1.331,                0.77765,                0.67614,                0.76322,                0.47484,                  1.411,                 1.2681,                 1.9025,             0.00050194,             0.00050194,             0.00050194
                     32,                0.93278,                  1.001,                 1.3124,                0.71114,                0.72991,                 0.7609,                0.48534,                 1.4521,                 1.2155,                 1.9221,             0.00049487,             0.00049487,             0.00049487
