                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0418,                 3.5671,                 1.5199,                 0.1417,                0.15219,                0.12914,                0.06547,                 1.3473,                 2.9839,                 1.7801,             0.00025467,             0.00025467,             0.00025467
                      2,                 1.0821,                 2.8887,                 1.5316,                0.45623,                0.26552,                0.21828,                0.11601,                  1.485,                 3.3621,                 1.9592,             0.00049414,             0.00049414,             0.00049414
                      3,                 1.0737,                 2.4493,                 1.5012,                0.25842,                0.44267,                0.27238,                0.12612,                 1.6213,                 2.7757,                 2.0246,             0.00071669,             0.00071669,             0.00071669
                      4,                 1.0573,                 2.1964,                 1.4877,                0.40626,                0.46422,                0.40196,                0.21528,                 1.4622,                 2.3124,                 1.9322,             0.00069287,             0.00069287,             0.00069287
                      5,                  1.018,                 2.0278,                 1.4588,                0.39143,                0.51972,                0.41531,                0.22808,                 1.3304,                 2.2762,                  1.749,             0.00066749,             0.00066749,             0.00066749
                      6,                 0.9921,                 1.8945,                 1.4344,                0.40872,                 0.5199,                0.48284,                0.29799,                 1.3515,                 2.0719,                 1.7834,             0.00064212,             0.00064212,             0.00064212
                      7,                0.95425,                  1.757,                 1.4007,                 0.5492,                0.51558,                 0.5241,                0.31198,                 1.3221,                 1.9018,                  1.736,             0.00061674,             0.00061674,             0.00061674
                      8,                0.92103,                 1.6519,                 1.3706,                0.46957,                0.46381,                0.46873,                 0.2834,                 1.3499,                 2.2045,                 1.7857,             0.00059136,             0.00059136,             0.00059136
                      9,                0.88379,                 1.5788,                 1.3436,                0.56872,                0.58543,                0.62393,                0.39019,                  1.238,                 1.7279,                 1.6186,             0.00056598,             0.00056598,             0.00056598
                     10,                0.88087,                 1.4759,                 1.3416,                0.54174,                0.57325,                0.58796,                0.37212,                 1.2661,                 1.6187,                 1.6661,             0.00054061,             0.00054061,             0.00054061
                     11,                0.85524,                 1.4185,                 1.3165,                 0.6697,                0.58503,                0.64313,                0.41492,                  1.201,                 1.5504,                 1.5753,             0.00051523,             0.00051523,             0.00051523
                     12,                0.82627,                 1.3634,                 1.2975,                0.57914,                0.64253,                0.63167,                0.42471,                 1.1675,                 1.6031,                 1.5326,             0.00048985,             0.00048985,             0.00048985
                     13,                0.81553,                 1.3072,                 1.2839,                0.55408,                0.65227,                0.62846,                0.43761,                  1.164,                 1.5647,                 1.5614,             0.00046448,             0.00046448,             0.00046448
                     14,                0.80106,                 1.2709,                 1.2724,                0.62741,                0.61663,                 0.6543,                0.46126,                 1.1521,                 1.5269,                 1.5632,              0.0004391,              0.0004391,              0.0004391
                     15,                0.76234,                 1.1829,                 1.2517,                0.64353,                0.61583,                0.66817,                0.44278,                  1.247,                 1.5245,                 1.5835,             0.00041372,             0.00041372,             0.00041372
                     16,                0.75813,                 1.1353,                 1.2425,                0.57738,                0.70244,                 0.6635,                0.45073,                 1.2214,                  1.478,                 1.5834,             0.00038835,             0.00038835,             0.00038835
                     17,                0.74037,                 1.0948,                 1.2173,                0.57203,                  0.677,                0.65755,                0.43903,                 1.1563,                 1.4132,                 1.5486,             0.00036297,             0.00036297,             0.00036297
                     18,                0.70987,                 1.0447,                 1.2044,                0.64212,                0.72899,                0.71972,                 0.4844,                 1.1461,                 1.3684,                 1.5364,             0.00033759,             0.00033759,             0.00033759
                     19,                0.70659,                 1.0426,                 1.2089,                0.61802,                 0.5939,                0.64036,                0.43525,                  1.178,                 1.5652,                  1.544,             0.00031221,             0.00031221,             0.00031221
                     20,                0.67849,                0.97914,                 1.1838,                0.65612,                0.66079,                0.71134,                0.50092,                 1.0882,                 1.4287,                 1.4377,             0.00028684,             0.00028684,             0.00028684
                     21,                 0.6403,                0.89009,                 1.2151,                0.72996,                0.56172,                0.67143,                0.47126,                 1.1494,                 1.4345,                 1.5424,             0.00026146,             0.00026146,             0.00026146
                     22,                0.60266,                0.74224,                 1.1909,                0.68921,                0.62627,                0.67441,                0.43969,                 1.1789,                  1.451,                 1.6102,             0.00023608,             0.00023608,             0.00023608
                     23,                0.56514,                0.68334,                 1.1519,                0.66862,                 0.6333,                0.67973,                0.49225,                 1.0748,                  1.412,                 1.4464,             0.00021071,             0.00021071,             0.00021071
                     24,                0.54137,                 0.6323,                 1.1271,                0.70871,                0.59268,                0.68155,                0.47403,                 1.1736,                 1.4315,                 1.5715,             0.00018533,             0.00018533,             0.00018533
                     25,                0.51998,                 0.6017,                 1.1002,                0.63465,                0.72754,                0.73785,                0.51293,                 1.1298,                 1.2594,                 1.5281,             0.00015995,             0.00015995,             0.00015995
                     26,                0.49477,                0.55531,                 1.0859,                0.64865,                0.68954,                0.71306,                0.48983,                 1.1577,                 1.4292,                 1.5821,             0.00013457,             0.00013457,             0.00013457
                     27,                0.47484,                 0.5267,                 1.0687,                0.70936,                0.64612,                0.71861,                0.49491,                  1.183,                 1.3512,                 1.6202,              0.0001092,              0.0001092,              0.0001092
                     28,                0.46563,                0.51127,                 1.0635,                0.70709,                 0.6786,                0.71764,                0.50805,                 1.1204,                 1.3594,                 1.5411,             8.3821e-05,             8.3821e-05,             8.3821e-05
                     29,                0.44447,                0.48954,                 1.0504,                0.73546,                 0.6504,                  0.714,                0.50246,                 1.1477,                 1.3509,                 1.5648,             5.8444e-05,             5.8444e-05,             5.8444e-05
                     30,                 0.4376,                0.48257,                 1.0417,                0.72612,                0.63974,                0.70878,                0.50417,                 1.1151,                 1.3249,                 1.5368,             3.3067e-05,             3.3067e-05,             3.3067e-05
