                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5803,                 3.4071,                 1.9395,                0.25725,                0.19702,                 0.1906,                0.08827,                 2.0191,                 4.0943,                 2.7307,             0.00036307,             0.00036307,             0.00036307
                      2,                 1.6463,                 2.4537,                 1.9335,                0.27933,                0.23766,                0.09628,                0.03858,                 2.7838,                 4.6042,                 3.5827,             0.00071888,             0.00071888,             0.00071888
                      3,                  1.667,                 2.3684,                   1.96,                0.36699,                0.12608,                0.08408,                 0.0237,                 2.7715,                 6.5174,                  3.242,                0.00106,                0.00106,                0.00106
                      4,                 1.6603,                 2.3086,                 1.9637,                0.65456,                0.04791,                0.01698,                0.00469,                 3.0003,                 5.4098,                 3.5998,               0.001045,               0.001045,               0.001045
                      5,                 1.6841,                 2.2506,                 1.9558,                0.26462,                0.13077,                 0.0539,                0.01734,                 3.0926,                 5.0213,                  3.507,               0.001023,               0.001023,               0.001023
                      6,                 1.6449,                 2.2453,                 1.9258,                0.80156,                0.14895,                0.19772,                0.08963,                 2.3234,                 3.5657,                 2.9258,               0.001001,               0.001001,               0.001001
                      7,                 1.6021,                 2.1741,                 1.8976,                0.39045,                0.38031,                0.28087,                 0.1026,                 2.2002,                 2.6882,                 2.7314,             0.00097901,             0.00097901,             0.00097901
                      8,                 1.5547,                 2.0822,                 1.8456,                0.30411,                0.36348,                0.28385,                0.08958,                  2.371,                 2.6167,                 2.9722,             0.00095702,             0.00095702,             0.00095702
                      9,                 1.5424,                  2.032,                 1.8335,                0.46668,                0.25612,                0.24065,                0.07804,                 2.1857,                 2.6785,                 2.6984,             0.00093502,             0.00093502,             0.00093502
                     10,                 1.5286,                 2.0052,                 1.8401,                0.23221,                0.34195,                0.27954,                0.11321,                  2.189,                 2.6063,                  2.677,             0.00091302,             0.00091302,             0.00091302
                     11,                 1.5172,                 1.9126,                 1.8073,                 0.6383,                0.33714,                0.41221,                0.16878,                 1.9919,                 2.1402,                 2.5665,             0.00089102,             0.00089102,             0.00089102
                     12,                 1.4539,                 1.8213,                 1.7704,                0.53802,                0.32119,                0.29038,                0.12413,                 2.1128,                 2.8529,                 2.6523,             0.00086902,             0.00086902,             0.00086902
                     13,                 1.4713,                 1.7748,                 1.7714,                0.62732,                0.31558,                0.37655,                0.15091,                 2.0985,                 2.4121,                 2.5971,             0.00084703,             0.00084703,             0.00084703
                     14,                 1.3808,                 1.6616,                 1.7137,                0.57195,                0.37566,                0.36578,                0.18214,                 1.9465,                 2.2194,                 2.4712,             0.00082503,             0.00082503,             0.00082503
                     15,                 1.3889,                 1.6158,                 1.6871,                0.53204,                0.40945,                0.41718,                0.18482,                  2.056,                 2.1855,                 2.4835,             0.00080303,             0.00080303,             0.00080303
                     16,                 1.3581,                  1.603,                 1.6784,                0.42558,                0.38159,                0.33059,                 0.1502,                 2.1766,                  2.403,                  2.637,             0.00078103,             0.00078103,             0.00078103
