                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0474,                 3.5135,                 1.4269,                0.13938,                0.29288,                0.15264,                0.08498,                 1.3347,                  2.795,                 1.8641,             0.00027606,             0.00027606,             0.00027606
                      2,                 1.0713,                 2.7732,                 1.4204,                0.42319,                0.34417,                0.33492,                 0.1766,                 1.3888,                 2.6684,                 1.9207,             0.00053546,             0.00053546,             0.00053546
                      3,                 1.0636,                 2.3309,                 1.4013,                0.38196,                0.37035,                0.32532,                0.18139,                 1.4397,                 2.5174,                 1.9631,             0.00077652,             0.00077652,             0.00077652
                      4,                 1.0375,                 2.0989,                 1.3776,                0.47678,                0.51499,                0.47957,                0.26487,                 1.3928,                 2.0202,                 1.9064,             0.00075053,             0.00075053,             0.00075053
                      5,                 1.0047,                 1.8775,                 1.3434,                0.49947,                0.44183,                0.44258,                0.25773,                 1.3213,                 2.0119,                 1.8183,             0.00072304,             0.00072304,             0.00072304
                      6,                0.98799,                 1.7705,                 1.3325,                0.56865,                0.62383,                0.60923,                0.39956,                 1.1454,                 1.6018,                 1.5991,             0.00069556,             0.00069556,             0.00069556
                      7,                0.93242,                 1.6423,                 1.2949,                0.68956,                0.50839,                0.57975,                0.35778,                 1.2129,                 1.8216,                 1.6448,             0.00066807,             0.00066807,             0.00066807
                      8,                0.92102,                 1.5243,                 1.2777,                0.59237,                0.52385,                0.59319,                0.34919,                 1.2777,                 1.6301,                 1.7348,             0.00064058,             0.00064058,             0.00064058
                      9,                0.88374,                 1.4388,                 1.2622,                0.60309,                 0.5854,                0.63677,                0.41385,                 1.1759,                 1.5781,                 1.6139,             0.00061309,             0.00061309,             0.00061309
                     10,                0.86022,                 1.3671,                  1.242,                0.74928,                0.54311,                0.66757,                0.43475,                 1.2239,                 1.4872,                 1.6866,              0.0005856,              0.0005856,              0.0005856
                     11,                0.82847,                 1.3047,                 1.2173,                0.75109,                0.58043,                 0.6994,                0.47052,                 1.1316,                 1.4196,                 1.5939,             0.00055811,             0.00055811,             0.00055811
                     12,                0.83483,                 1.2682,                 1.2176,                0.56858,                0.66803,                0.66725,                0.44377,                 1.1585,                  1.495,                 1.5968,             0.00053062,             0.00053062,             0.00053062
                     13,                0.80892,                  1.206,                 1.1988,                0.68179,                0.58894,                 0.6577,                0.42084,                 1.1914,                 1.4597,                 1.6498,             0.00050313,             0.00050313,             0.00050313
                     14,                 0.7725,                 1.1325,                 1.1702,                0.63322,                0.65907,                0.68351,                0.43389,                 1.2157,                 1.4354,                 1.6659,             0.00047564,             0.00047564,             0.00047564
