                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0565,                 3.4825,                 1.4957,                0.19458,                0.31728,                 0.1876,                 0.0889,                 1.4336,                 2.7698,                 1.9065,             0.00027602,             0.00027602,             0.00027602
                      2,                 1.0787,                 2.7381,                 1.5046,                0.21966,                0.40778,                0.27106,                0.14749,                 1.3073,                 2.8928,                 1.8801,             0.00053542,             0.00053542,             0.00053542
                      3,                 1.0634,                 2.3083,                 1.4735,                0.44723,                0.32541,                0.31183,                0.15728,                 1.5099,                 2.8644,                 1.9783,             0.00077649,             0.00077649,             0.00077649
                      4,                 1.0448,                 2.0645,                 1.4564,                0.44273,                0.39397,                0.38119,                0.20687,                 1.4584,                 2.2567,                 1.8972,             0.00075053,             0.00075053,             0.00075053
                      5,                 0.9973,                 1.8689,                 1.4117,                0.38004,                 0.5551,                0.45135,                0.27525,                 1.3219,                 2.1071,                 1.7472,             0.00072304,             0.00072304,             0.00072304
                      6,                0.96167,                 1.7367,                 1.3821,                0.55993,                0.61307,                0.58952,                0.34769,                 1.2701,                 1.7441,                 1.6565,             0.00069556,             0.00069556,             0.00069556
                      7,                0.93893,                 1.6218,                 1.3646,                0.43424,                0.55334,                0.47121,                0.30395,                   1.37,                 2.0871,                 1.7452,             0.00066807,             0.00066807,             0.00066807
                      8,                0.90099,                 1.5317,                 1.3354,                0.52857,                0.62552,                0.58772,                0.36158,                 1.3256,                 1.6436,                 1.7222,             0.00064058,             0.00064058,             0.00064058
                      9,                0.88108,                 1.4432,                 1.3196,                0.55922,                0.56716,                0.56763,                0.36475,                 1.2606,                 1.7734,                 1.6234,             0.00061309,             0.00061309,             0.00061309
                     10,                0.85121,                 1.3581,                 1.3009,                0.59319,                0.61233,                0.63274,                0.39648,                 1.2453,                  1.664,                 1.6504,              0.0005856,              0.0005856,              0.0005856
                     11,                0.82438,                 1.3235,                 1.2767,                0.65246,                0.57153,                0.66988,                0.40846,                 1.2511,                 1.5824,                  1.625,             0.00055811,             0.00055811,             0.00055811
                     12,                0.82675,                 1.2362,                 1.2778,                0.63168,                0.65383,                0.69927,                0.48576,                  1.142,                 1.3895,                 1.5435,             0.00053062,             0.00053062,             0.00053062
                     13,                0.78597,                 1.1835,                 1.2473,                0.71477,                0.66607,                0.72209,                0.47814,                 1.2417,                 1.4699,                 1.6103,             0.00050313,             0.00050313,             0.00050313
                     14,                 0.7886,                 1.1456,                 1.2512,                0.57743,                0.71927,                0.70079,                0.48253,                 1.1497,                 1.3605,                 1.5688,             0.00047564,             0.00047564,             0.00047564
                     15,                0.75202,                 1.0813,                 1.2245,                0.66022,                0.69359,                0.71952,                0.47782,                 1.2066,                  1.443,                  1.612,             0.00044815,             0.00044815,             0.00044815
