                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4354,                  3.751,                 1.8323,                0.35279,                0.17237,                0.10072,                0.04626,                 1.8346,                 3.0391,                 2.3511,             0.00020779,             0.00020779,             0.00020779
                      2,                 1.4172,                 2.9422,                 1.7611,                0.29715,                0.32854,                0.26112,                0.13538,                 1.7568,                 2.6057,                 2.2599,             0.00040789,             0.00040789,             0.00040789
                      3,                 1.3883,                 2.4943,                  1.709,                0.28978,                0.31797,                0.27032,                0.13906,                  1.766,                 2.4611,                   2.19,             0.00059973,             0.00059973,             0.00059973
                      4,                 1.3325,                 2.2357,                 1.6507,                0.44558,                0.41157,                0.38468,                0.19699,                 1.6735,                 2.2181,                 2.1002,             0.00058787,             0.00058787,             0.00058787
                      5,                 1.3003,                 2.0441,                 1.6208,                0.51982,                0.43791,                0.47427,                0.24133,                 1.6846,                 2.0004,                 2.0536,              0.0005755,              0.0005755,              0.0005755
                      6,                 1.2523,                 1.8932,                 1.5723,                0.52665,                0.51328,                0.51044,                 0.2827,                 1.5705,                 1.8126,                 1.9838,             0.00056313,             0.00056313,             0.00056313
                      7,                 1.2161,                  1.785,                 1.5456,                0.57466,                0.54343,                0.56709,                0.31008,                 1.5959,                 1.7113,                 2.0197,             0.00055075,             0.00055075,             0.00055075
                      8,                 1.1855,                  1.699,                 1.5143,                0.58584,                0.57127,                0.60529,                0.33996,                 1.5117,                 1.6132,                 1.9366,             0.00053838,             0.00053838,             0.00053838
                      9,                   1.17,                 1.6218,                  1.501,                0.54308,                0.54374,                0.55992,                0.31741,                 1.5887,                 1.7062,                 1.9583,               0.000526,               0.000526,               0.000526
                     10,                 1.1397,                 1.5387,                 1.4792,                0.60424,                0.59564,                0.63637,                0.36573,                 1.5277,                 1.5607,                 1.9088,             0.00051363,             0.00051363,             0.00051363
                     11,                  1.126,                 1.4861,                 1.4639,                0.70777,                0.59699,                0.68586,                0.40161,                 1.5037,                 1.3596,                 1.8864,             0.00050125,             0.00050125,             0.00050125
                     12,                 1.0967,                 1.4169,                 1.4444,                0.69784,                0.62067,                0.70209,                0.41379,                 1.4419,                 1.3344,                 1.8465,             0.00048888,             0.00048888,             0.00048888
                     13,                 1.0896,                 1.4044,                 1.4338,                0.69108,                0.71334,                0.74534,                0.44879,                 1.4523,                 1.2482,                 1.8712,              0.0004765,              0.0004765,              0.0004765
                     14,                 1.0634,                 1.3276,                 1.4094,                0.75029,                0.64228,                 0.7323,                0.44009,                 1.4243,                 1.2917,                 1.8463,             0.00046413,             0.00046413,             0.00046413
                     15,                 1.0367,                  1.291,                 1.3961,                0.74005,                0.70076,                0.77238,                0.48518,                 1.3612,                 1.1828,                 1.7624,             0.00045175,             0.00045175,             0.00045175
                     16,                 1.0214,                  1.268,                 1.3823,                0.70432,                 0.7273,                0.76935,                0.46976,                  1.368,                 1.1524,                 1.7704,             0.00043937,             0.00043937,             0.00043937
                     17,                 1.0092,                 1.2278,                 1.3768,                0.80278,                0.69332,                0.77882,                0.48924,                 1.3511,                 1.1462,                 1.7651,               0.000427,               0.000427,               0.000427
                     18,                0.98661,                 1.1986,                 1.3587,                0.68237,                0.75346,                 0.7768,                0.48972,                 1.3268,                 1.1605,                 1.7392,             0.00041462,             0.00041462,             0.00041462
                     19,                0.97086,                  1.157,                 1.3435,                0.72251,                0.73001,                0.78606,                0.50896,                 1.3152,                 1.0802,                  1.702,             0.00040225,             0.00040225,             0.00040225
                     20,                0.95092,                 1.1208,                  1.333,                0.79998,                0.74988,                0.82529,                0.53141,                  1.271,                  1.032,                 1.6805,             0.00038988,             0.00038988,             0.00038988
                     21,                0.94705,                 1.1181,                 1.3293,                 0.8165,                 0.7542,                0.84642,                0.54139,                 1.2875,                 0.9869,                 1.6784,              0.0003775,              0.0003775,              0.0003775
                     22,                0.92666,                 1.0781,                 1.3141,                0.81186,                0.77483,                0.85777,                0.55347,                 1.2904,                0.94902,                 1.6893,             0.00036513,             0.00036513,             0.00036513
                     23,                0.91515,                 1.0645,                 1.3086,                0.84692,                0.78581,                 0.8595,                0.56725,                 1.2117,                0.94623,                 1.6172,             0.00035275,             0.00035275,             0.00035275
                     24,                0.90226,                 1.0297,                    1.3,                0.79954,                 0.8241,                0.86189,                0.57049,                 1.1937,                0.91362,                 1.6256,             0.00034038,             0.00034038,             0.00034038
                     25,                0.89067,                 1.0207,                  1.283,                0.85121,                 0.7761,                 0.8632,                0.58835,                 1.1675,                0.89696,                 1.5891,               0.000328,               0.000328,               0.000328
                     26,                 0.8801,                0.98961,                 1.2799,                0.80187,                 0.8141,                0.85691,                0.58107,                 1.1676,                0.88117,                 1.5936,             0.00031562,             0.00031562,             0.00031562
                     27,                0.86571,                0.96563,                 1.2699,                0.83108,                0.82274,                0.88769,                0.60259,                 1.1515,                 0.8374,                 1.5608,             0.00030325,             0.00030325,             0.00030325
                     28,                0.85324,                0.95631,                 1.2633,                0.85432,                0.82352,                0.87264,                0.60014,                 1.1209,                0.82747,                 1.5373,             0.00029088,             0.00029088,             0.00029088
                     29,                0.84472,                0.94126,                 1.2521,                0.83831,                0.82964,                0.88016,                0.60867,                 1.1354,                0.83137,                 1.5544,              0.0002785,              0.0002785,              0.0002785
                     30,                0.82921,                0.91766,                 1.2464,                0.86969,                0.83863,                0.89903,                0.62943,                   1.08,                0.79895,                 1.5095,             0.00026613,             0.00026613,             0.00026613
                     31,                0.82062,                0.89447,                 1.2442,                0.86574,                 0.8399,                0.90297,                0.63978,                 1.0635,                0.76418,                 1.4942,             0.00025375,             0.00025375,             0.00025375
                     32,                0.80616,                0.87638,                 1.2264,                0.87569,                0.84264,                0.90828,                0.64207,                 1.0696,                0.75367,                 1.5032,             0.00024137,             0.00024137,             0.00024137
                     33,                0.80019,                0.87274,                 1.2253,                0.86198,                0.84866,                0.90516,                0.64871,                  1.042,                0.72192,                 1.4762,               0.000229,               0.000229,               0.000229
                     34,                0.78686,                0.84477,                 1.2191,                0.87367,                0.88426,                0.92357,                0.65373,                 1.0385,                0.70841,                 1.4582,             0.00021662,             0.00021662,             0.00021662
                     35,                0.77047,                0.83333,                 1.2018,                0.90957,                0.85204,                0.92889,                0.67028,                 1.0084,                0.69506,                 1.4412,             0.00020425,             0.00020425,             0.00020425
