                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4301,                 3.8267,                 1.7991,                0.39212,                0.14592,                0.10768,                0.05407,                 1.7859,                 3.1732,                 2.3235,             0.00023675,             0.00023675,             0.00023675
                      2,                 1.4562,                 3.2386,                 1.8063,                0.23672,                0.20072,                0.18259,                0.07743,                 1.8528,                 3.2217,                 2.3702,             0.00046535,             0.00046535,             0.00046535
                      3,                  1.454,                 2.8307,                 1.7846,                0.17459,                0.29012,                0.17233,                0.07482,                 1.9821,                 2.8247,                 2.3233,             0.00068452,             0.00068452,             0.00068452
                      4,                 1.4631,                  2.622,                 1.7897,                0.34533,                0.36837,                0.31836,                0.16434,                 1.7984,                 2.4763,                 2.2964,             0.00067159,             0.00067159,             0.00067159
                      5,                 1.4193,                 2.4186,                  1.735,                 0.4385,                0.41335,                0.38551,                0.19153,                 1.8071,                 2.2913,                 2.2646,             0.00065745,             0.00065745,             0.00065745
                      6,                 1.3959,                 2.2808,                 1.7162,                0.42317,                0.39659,                0.42429,                0.20686,                 1.8448,                 2.2536,                 2.2391,             0.00064331,             0.00064331,             0.00064331
                      7,                 1.3649,                  2.162,                 1.6864,                0.39596,                0.49251,                0.43636,                 0.2247,                 1.8273,                 2.1812,                 2.2178,             0.00062918,             0.00062918,             0.00062918
                      8,                 1.3485,                 2.0532,                 1.6702,                0.53843,                0.43615,                0.47599,                 0.2435,                 1.7816,                 2.2438,                 2.2029,             0.00061504,             0.00061504,             0.00061504
                      9,                 1.3182,                 1.9734,                  1.634,                 0.5081,                0.49751,                   0.52,                0.28288,                 1.7418,                 1.9718,                 2.1561,              0.0006009,              0.0006009,              0.0006009
                     10,                 1.3048,                 1.9109,                 1.6336,                0.42378,                0.53972,                0.50399,                0.26071,                 1.7337,                 1.9609,                 2.0887,             0.00058677,             0.00058677,             0.00058677
