                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0492,                 3.5137,                 1.4418,                0.31709,                0.23033,                0.16587,                0.08985,                 1.3048,                 2.7881,                 1.8613,             0.00027604,             0.00027604,             0.00027604
                      2,                 1.0881,                 2.8131,                 1.4569,                0.32952,                0.33742,                0.31244,                0.14504,                 1.5919,                 2.5651,                  2.157,             0.00053544,             0.00053544,             0.00053544
                      3,                 1.0646,                 2.4142,                 1.4187,                0.40321,                0.41843,                0.42801,                0.21482,                 1.4887,                 2.2933,                 2.0072,             0.00077651,             0.00077651,             0.00077651
                      4,                 1.0441,                 2.1388,                 1.4017,                0.48967,                 0.4153,                0.42354,                0.22272,                 1.4748,                 2.1376,                 1.9285,             0.00075053,             0.00075053,             0.00075053
                      5,                0.99821,                 1.9492,                 1.3591,                0.53783,                0.39798,                0.43244,                0.25341,                 1.3766,                 2.0656,                 1.8463,             0.00072304,             0.00072304,             0.00072304
                      6,                0.97227,                 1.8205,                 1.3496,                0.64625,                0.49553,                0.58689,                0.34929,                 1.2255,                 1.7922,                 1.7047,             0.00069556,             0.00069556,             0.00069556
                      7,                0.92792,                  1.669,                  1.299,                0.63932,                0.58455,                0.64447,                0.39257,                 1.2287,                 1.6746,                 1.6609,             0.00066807,             0.00066807,             0.00066807
                      8,                0.90372,                 1.5857,                 1.2885,                0.59401,                0.60972,                0.64753,                0.39329,                 1.1872,                 1.6135,                  1.671,             0.00064058,             0.00064058,             0.00064058
                      9,                0.88946,                  1.517,                 1.2794,                0.63705,                0.52207,                0.63784,                0.41817,                 1.1383,                 1.6234,                 1.5953,             0.00061309,             0.00061309,             0.00061309
                     10,                0.87273,                 1.4372,                 1.2564,                0.61213,                 0.6209,                0.66199,                0.42496,                 1.1869,                 1.4959,                 1.6201,              0.0005856,              0.0005856,              0.0005856
