                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4962,                 3.8016,                 1.8755,                0.31138,                0.26057,                0.09482,                0.04477,                 1.8446,                 3.2265,                 2.3359,              0.0002078,              0.0002078,              0.0002078
                      2,                 1.4692,                 3.0163,                 1.7991,                 0.2234,                0.30531,                0.16602,                0.07642,                 1.8704,                 2.8521,                 2.2954,             0.00040789,             0.00040789,             0.00040789
                      3,                 1.4343,                 2.6136,                 1.7519,                0.38385,                0.31638,                0.27593,                0.12914,                 1.7712,                 2.5077,                 2.1963,             0.00059973,             0.00059973,             0.00059973
                      4,                 1.3755,                 2.3737,                 1.6972,                0.38886,                0.37894,                0.34393,                0.16201,                 1.7713,                 2.2327,                 2.1714,             0.00058787,             0.00058787,             0.00058787
                      5,                 1.3179,                 2.1677,                 1.6412,                0.49696,                0.46305,                0.42648,                0.22377,                 1.6762,                 2.0271,                 2.1267,              0.0005755,              0.0005755,              0.0005755
                      6,                 1.2888,                 2.0358,                   1.61,                0.41907,                0.45227,                0.42849,                0.22517,                  1.655,                 1.9418,                 2.0629,             0.00056313,             0.00056313,             0.00056313
                      7,                 1.2571,                 1.9342,                 1.5845,                0.56385,                0.47906,                0.52007,                0.28336,                  1.603,                 1.7948,                 2.0207,             0.00055075,             0.00055075,             0.00055075
                      8,                 1.2169,                 1.8397,                 1.5448,                0.57114,                0.52442,                0.56756,                0.31886,                 1.5772,                 1.6834,                 1.9814,             0.00053838,             0.00053838,             0.00053838
                      9,                 1.1941,                 1.7479,                 1.5259,                0.55906,                0.60346,                0.57287,                0.32581,                  1.489,                  1.631,                 1.9359,               0.000526,               0.000526,               0.000526
                     10,                 1.1731,                 1.6801,                 1.5104,                0.67274,                0.56443,                0.61571,                0.35876,                 1.5012,                 1.6216,                  1.926,             0.00051363,             0.00051363,             0.00051363
                     11,                 1.1628,                 1.6317,                 1.5014,                0.65612,                0.58451,                0.63375,                0.36332,                 1.4922,                 1.4904,                 1.8877,             0.00050125,             0.00050125,             0.00050125
                     12,                 1.1225,                 1.5527,                 1.4684,                0.68856,                 0.6115,                0.69288,                0.40032,                 1.4678,                 1.4197,                 1.8603,             0.00048888,             0.00048888,             0.00048888
                     13,                 1.1038,                 1.5074,                 1.4552,                0.67522,                0.60981,                0.66096,                0.39244,                 1.4378,                 1.3788,                 1.8519,              0.0004765,              0.0004765,              0.0004765
                     14,                 1.0928,                 1.4611,                 1.4402,                0.78184,                0.59888,                 0.6924,                0.42236,                 1.4184,                 1.2931,                 1.8072,             0.00046413,             0.00046413,             0.00046413
