                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.92887,                 3.0758,                 1.2592,                0.42737,                0.31735,                0.31511,                0.18633,                  1.417,                 2.6849,                 1.8695,             0.00027582,             0.00027582,             0.00027582
                      2,                0.89087,                 2.0414,                 1.2123,                 0.4224,                0.34978,                0.38255,                0.21899,                 1.7048,                 2.5719,                 2.1706,             0.00053522,             0.00053522,             0.00053522
                      3,                0.89174,                 1.7923,                 1.2034,                0.33921,                0.39986,                0.30707,                 0.1825,                 1.7528,                 2.4759,                 2.1093,             0.00077629,             0.00077629,             0.00077629
                      4,                0.86674,                 1.6439,                 1.1822,                0.55733,                0.52384,                0.56519,                0.34327,                 1.3185,                 1.9282,                 1.8198,             0.00075053,             0.00075053,             0.00075053
                      5,                0.81153,                 1.4559,                 1.1511,                0.53216,                0.60024,                0.53439,                0.31543,                 1.3709,                 1.8203,                 1.8655,             0.00072304,             0.00072304,             0.00072304
                      6,                0.78454,                 1.3609,                 1.1295,                0.56519,                0.62739,                0.64754,                0.42994,                 1.2583,                  1.674,                 1.7082,             0.00069556,             0.00069556,             0.00069556
                      7,                0.76143,                 1.2465,                 1.1113,                0.64987,                0.59894,                0.65429,                0.42156,                  1.334,                 1.5834,                 1.7622,             0.00066807,             0.00066807,             0.00066807
                      8,                0.71861,                  1.154,                 1.0864,                0.73435,                0.65658,                0.70529,                0.46408,                 1.2463,                 1.6589,                 1.7364,             0.00064058,             0.00064058,             0.00064058
                      9,                0.69944,                  1.066,                 1.0767,                0.77571,                0.69873,                0.77248,                0.51201,                 1.1029,                 1.3513,                 1.5872,             0.00061309,             0.00061309,             0.00061309
                     10,                0.68328,                 1.0248,                 1.0671,                0.65473,                0.74974,                0.71973,                0.50736,                 1.1238,                 1.3732,                 1.6329,              0.0005856,              0.0005856,              0.0005856
                     11,                0.65655,                0.96528,                 1.0487,                0.70622,                0.73083,                0.81017,                0.57655,                 1.0211,                 1.2098,                 1.5032,             0.00055811,             0.00055811,             0.00055811
                     12,                0.63768,                0.91043,                 1.0364,                0.76022,                0.70741,                0.82641,                0.60977,                0.97327,                 1.0846,                 1.4202,             0.00053062,             0.00053062,             0.00053062
                     13,                  0.619,                0.87263,                 1.0294,                0.78988,                0.79677,                 0.8613,                0.65354,                0.96344,                 1.0365,                 1.3907,             0.00050313,             0.00050313,             0.00050313
                     14,                0.61504,                0.84402,                 1.0236,                0.81232,                0.78791,                0.86991,                0.65308,                0.96134,                 0.9915,                 1.4233,             0.00047564,             0.00047564,             0.00047564
                     15,                0.58894,                0.79216,                 1.0099,                0.81595,                0.72826,                0.84723,                0.65195,                0.87511,                 1.0084,                 1.3208,             0.00044815,             0.00044815,             0.00044815
                     16,                0.57641,                0.76822,                 1.0045,                0.79546,                0.77356,                0.84635,                0.64886,                0.93398,                  1.011,                 1.3501,             0.00042066,             0.00042066,             0.00042066
                     17,                0.56091,                0.73946,                0.99471,                0.86462,                0.85671,                0.91197,                0.69535,                0.90589,                0.83009,                 1.3112,             0.00039318,             0.00039318,             0.00039318
                     18,                  0.536,                0.70691,                0.98254,                0.80852,                0.84796,                0.89554,                0.68123,                0.85887,                0.82742,                 1.2664,             0.00036569,             0.00036569,             0.00036569
                     19,                0.54077,                0.68097,                0.98232,                0.89719,                0.83369,                0.90738,                0.72622,                 0.8641,                0.77923,                 1.2786,              0.0003382,              0.0003382,              0.0003382
                     20,                0.51791,                0.64845,                0.97067,                0.92815,                0.77213,                0.91127,                 0.7408,                0.79871,                0.75927,                  1.229,             0.00031071,             0.00031071,             0.00031071
                     21,                0.46384,                0.50394,                0.95256,                 0.8982,                0.82307,                0.90778,                 0.7442,                0.74719,                0.76679,                 1.2031,             0.00028322,             0.00028322,             0.00028322
                     22,                 0.4445,                0.44739,                0.94155,                0.87513,                0.88192,                0.92773,                0.74981,                0.79733,                0.70959,                  1.194,             0.00025573,             0.00025573,             0.00025573
                     23,                0.43306,                0.43462,                0.93481,                0.92143,                0.90127,                 0.9383,                0.76466,                0.72802,                0.71659,                 1.1727,             0.00022824,             0.00022824,             0.00022824
                     24,                0.41753,                 0.4086,                0.91985,                 0.9189,                0.91243,                0.95619,                0.77597,                0.76661,                0.57734,                 1.2282,             0.00020075,             0.00020075,             0.00020075
                     25,                0.40488,                0.38292,                0.91833,                0.89434,                 0.9062,                0.95688,                0.79824,                0.69679,                0.57531,                 1.1688,             0.00017326,             0.00017326,             0.00017326
                     26,                0.38402,                0.35184,                0.90018,                0.93273,                0.90749,                0.95669,                0.79711,                 0.6523,                0.54202,                 1.0993,             0.00014577,             0.00014577,             0.00014577
                     27,                0.37063,                0.33662,                0.89978,                0.92641,                0.91972,                0.96179,                0.81027,                 0.6567,                 0.5258,                 1.1133,             0.00011829,             0.00011829,             0.00011829
                     28,                0.36038,                0.32724,                0.90145,                0.93332,                0.89948,                0.96288,                0.82034,                0.65268,                0.50704,                 1.1038,             9.0797e-05,             9.0797e-05,             9.0797e-05
                     29,                0.35304,                0.31322,                0.89158,                0.94385,                0.90679,                0.96574,                0.83357,                0.60692,                0.48746,                 1.0568,             6.3308e-05,             6.3308e-05,             6.3308e-05
                     30,                0.34393,                0.30233,                0.88858,                0.96095,                0.88948,                0.96524,                0.83753,                  0.593,                0.46265,                 1.0552,             3.5819e-05,             3.5819e-05,             3.5819e-05
