                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0496,                 3.4865,                 1.4276,                 0.8218,                 0.0197,                0.18404,                 0.1028,                 1.3792,                 3.0987,                 1.8601,             0.00027451,             0.00027451,             0.00027451
                      2,                 1.0821,                  2.678,                 1.4143,                0.31333,                 0.3494,                0.24614,                0.11457,                 1.5824,                 2.8758,                 2.0923,             0.00054124,             0.00054124,             0.00054124
                      3,                 1.1341,                  2.401,                 1.4541,                0.25252,                0.23846,                0.18682,                0.09286,                 1.5373,                 2.9661,                  2.015,             0.00079698,             0.00079698,             0.00079698
                      4,                 1.1157,                 2.1611,                 1.4346,                0.32173,                0.34912,                0.34531,                 0.1696,                  1.609,                  2.474,                 2.0766,             0.00078352,             0.00078352,             0.00078352
                      5,                 1.0934,                 2.0087,                 1.4074,                0.40587,                0.36966,                0.39023,                0.19034,                 1.6439,                 2.3313,                 2.1031,             0.00076703,             0.00076703,             0.00076703
                      6,                 1.0564,                 1.8691,                 1.3704,                0.74521,                0.39692,                0.54103,                0.30501,                 1.4723,                 2.1877,                 1.8688,             0.00075053,             0.00075053,             0.00075053
                      7,                 1.0204,                 1.7039,                 1.3445,                0.48076,                0.42152,                0.47338,                0.27677,                 1.4189,                   2.06,                 1.8707,             0.00073404,             0.00073404,             0.00073404
                      8,                0.99439,                 1.6564,                 1.3353,                0.60369,                0.44084,                0.53981,                0.31829,                 1.4156,                 1.9571,                 1.8797,             0.00071755,             0.00071755,             0.00071755
                      9,                0.97649,                 1.5726,                 1.3118,                0.47684,                0.51904,                0.50742,                0.30078,                 1.3669,                   1.97,                 1.8136,             0.00070105,             0.00070105,             0.00070105
                     10,                0.92147,                 1.4593,                  1.279,                 0.5844,                0.52482,                0.55898,                0.33679,                 1.3172,                 2.0131,                  1.758,             0.00068456,             0.00068456,             0.00068456
                     11,                0.90546,                  1.386,                 1.2654,                0.56673,                0.54299,                0.54339,                0.30195,                 1.4466,                 1.7697,                 1.8484,             0.00066807,             0.00066807,             0.00066807
                     12,                0.89739,                 1.3449,                 1.2509,                0.73643,                0.52066,                  0.641,                0.39767,                  1.292,                 1.7223,                 1.7855,             0.00065157,             0.00065157,             0.00065157
                     13,                0.87362,                 1.2976,                  1.239,                0.56572,                0.62283,                0.57365,                0.37334,                 1.2725,                 1.6809,                 1.7756,             0.00063508,             0.00063508,             0.00063508
                     14,                0.85832,                 1.2239,                 1.2286,                0.54031,                0.67926,                0.62684,                0.40537,                 1.2104,                 1.4577,                 1.6652,             0.00061859,             0.00061859,             0.00061859
                     15,                0.81108,                 1.1652,                  1.196,                0.58905,                0.65864,                0.65503,                0.44255,                 1.1459,                 1.5443,                 1.5975,             0.00060209,             0.00060209,             0.00060209
                     16,                0.80993,                 1.1552,                 1.2004,                0.53034,                0.60956,                0.60265,                0.40021,                  1.283,                 1.5531,                  1.683,              0.0005856,              0.0005856,              0.0005856
                     17,                0.80806,                 1.0761,                 1.1901,                 0.6194,                0.65324,                0.68146,                0.43837,                 1.1908,                 1.5399,                 1.6134,             0.00056911,             0.00056911,             0.00056911
                     18,                0.79328,                 1.0628,                  1.181,                 0.6626,                0.61281,                0.68825,                0.44003,                 1.2382,                  1.464,                 1.6716,             0.00055261,             0.00055261,             0.00055261
                     19,                0.77101,                 1.0439,                 1.1639,                0.69133,                0.55295,                0.64909,                0.42092,                 1.3103,                 1.5587,                 1.7395,             0.00053612,             0.00053612,             0.00053612
                     20,                0.75142,                 1.0205,                 1.1519,                0.70241,                0.62318,                0.71857,                 0.4673,                 1.2285,                 1.3008,                 1.6286,             0.00051963,             0.00051963,             0.00051963
                     21,                0.73053,                0.98049,                 1.1414,                0.73176,                0.63177,                 0.7193,                0.49092,                 1.2028,                 1.3502,                 1.6323,             0.00050313,             0.00050313,             0.00050313
                     22,                0.74093,                0.92683,                 1.1376,                0.69906,                0.67034,                0.72898,                0.46798,                 1.1163,                 1.3575,                 1.5523,             0.00048664,             0.00048664,             0.00048664
                     23,                 0.7087,                0.92057,                   1.13,                0.73916,                 0.6637,                0.73728,                0.48047,                 1.2313,                 1.4123,                 1.6328,             0.00047015,             0.00047015,             0.00047015
                     24,                0.69783,                0.89396,                 1.1198,                 0.6607,                0.63121,                0.70477,                0.48854,                 1.1299,                 1.3375,                 1.5569,             0.00045365,             0.00045365,             0.00045365
                     25,                0.68167,                0.84958,                 1.1034,                0.59317,                0.71939,                0.68776,                0.46242,                 1.2142,                 1.4423,                 1.6611,             0.00043716,             0.00043716,             0.00043716
                     26,                0.68951,                0.85543,                 1.1206,                0.66484,                0.68169,                 0.6908,                0.46792,                  1.216,                 1.5535,                 1.6646,             0.00042066,             0.00042066,             0.00042066
