                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.92096,                 3.1317,                 1.2482,                0.33748,                0.35487,                0.31643,                0.17283,                 1.2558,                 2.6406,                 1.8948,             0.00027568,             0.00027568,             0.00027568
                      2,                0.90721,                 2.0992,                 1.2186,                0.37365,                0.45197,                0.37367,                0.18398,                 1.4553,                 2.5321,                 2.0405,             0.00054239,             0.00054239,             0.00054239
                      3,                0.88238,                 1.8166,                 1.1902,                0.44455,                0.33658,                0.37323,                0.18929,                 1.6729,                  2.442,                  2.274,             0.00079811,             0.00079811,             0.00079811
                      4,                 0.8822,                 1.6391,                 1.1862,                0.48017,                0.42866,                0.47148,                0.27177,                 1.3956,                 2.1336,                 1.9454,             0.00078352,             0.00078352,             0.00078352
                      5,                0.84533,                 1.5224,                  1.164,                0.56426,                0.46959,                0.53167,                0.29701,                   1.34,                 2.2498,                  1.897,             0.00076703,             0.00076703,             0.00076703
                      6,                0.80981,                 1.3855,                 1.1391,                0.60226,                0.51246,                 0.6039,                0.36908,                 1.2559,                 1.7262,                 1.7731,             0.00075053,             0.00075053,             0.00075053
                      7,                0.76546,                 1.2887,                 1.1209,                0.57305,                0.50204,                0.57189,                0.36694,                 1.2577,                 1.8049,                  1.839,             0.00073404,             0.00073404,             0.00073404
                      8,                0.76406,                 1.2244,                 1.1088,                0.59947,                0.60384,                0.60323,                0.39627,                 1.2834,                 1.7673,                 1.8115,             0.00071755,             0.00071755,             0.00071755
                      9,                0.73266,                 1.1599,                 1.0951,                 0.5957,                 0.6491,                0.67853,                0.43737,                  1.156,                 1.5751,                 1.6813,             0.00070105,             0.00070105,             0.00070105
                     10,                0.70714,                 1.0951,                 1.0786,                0.69106,                0.69041,                0.74567,                0.52438,                 1.0781,                 1.2347,                 1.6084,             0.00068456,             0.00068456,             0.00068456
                     11,                0.70038,                 1.0583,                 1.0771,                0.77644,                0.68605,                0.79392,                0.55439,                  1.003,                  1.142,                 1.5328,             0.00066807,             0.00066807,             0.00066807
                     12,                0.67849,                0.99249,                 1.0559,                0.82673,                0.73426,                0.84372,                0.61616,                0.95815,                 1.0913,                 1.4729,             0.00065157,             0.00065157,             0.00065157
                     13,                0.66788,                0.95479,                 1.0534,                0.87824,                0.65547,                0.79983,                0.57538,                  1.087,                 1.2761,                 1.6608,             0.00063508,             0.00063508,             0.00063508
