                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.93066,                 3.1292,                 1.2641,                0.18583,                0.33499,                0.15073,                0.07609,                 1.3289,                 2.8191,                 1.7766,             0.00027582,             0.00027582,             0.00027582
                      2,                0.90631,                 2.1186,                 1.2326,                0.50376,                0.42385,                0.44249,                0.24659,                 1.5705,                 2.6186,                 2.1646,             0.00053522,             0.00053522,             0.00053522
                      3,                0.90865,                 1.8662,                  1.216,                0.37345,                0.43687,                0.38954,                0.21825,                 1.4896,                 2.3891,                 1.9901,             0.00077629,             0.00077629,             0.00077629
                      4,                0.87083,                 1.6957,                 1.1898,                0.29291,                0.37567,                 0.2568,                0.13117,                 1.7757,                 2.6223,                  2.249,             0.00075053,             0.00075053,             0.00075053
                      5,                0.84809,                 1.5504,                 1.1732,                0.49784,                0.53452,                0.53625,                0.29226,                 1.5209,                 2.0832,                 1.9941,             0.00072304,             0.00072304,             0.00072304
                      6,                0.80457,                 1.4201,                 1.1503,                0.56813,                0.63432,                0.62046,                0.39095,                 1.2325,                 1.7364,                 1.6768,             0.00069556,             0.00069556,             0.00069556
                      7,                0.77106,                 1.2976,                  1.123,                0.56548,                 0.6078,                0.62576,                0.39684,                 1.2708,                 1.7527,                 1.7378,             0.00066807,             0.00066807,             0.00066807
                      8,                0.73602,                   1.22,                 1.0995,                0.63916,                0.73506,                0.73051,                0.48973,                 1.2153,                 1.5186,                 1.6413,             0.00064058,             0.00064058,             0.00064058
                      9,                0.70921,                 1.1329,                 1.0855,                0.62223,                0.75768,                0.73052,                0.49858,                 1.1074,                 1.3833,                 1.5212,             0.00061309,             0.00061309,             0.00061309
                     10,                0.70746,                 1.0778,                 1.0795,                0.63758,                0.72611,                0.74717,                0.51078,                   1.19,                 1.4364,                 1.6222,              0.0005856,              0.0005856,              0.0005856
                     11,                0.66079,                 1.0179,                 1.0598,                0.72087,                0.73832,                0.77487,                0.54644,                 1.2214,                 1.5063,                 1.6544,             0.00055811,             0.00055811,             0.00055811
                     12,                0.64492,                0.96822,                  1.047,                0.78783,                0.74791,                 0.7875,                0.56769,                 1.0455,                 1.1722,                 1.5201,             0.00053062,             0.00053062,             0.00053062
                     13,                0.63228,                0.89602,                 1.0334,                0.82548,                0.75618,                 0.8324,                0.61294,                 1.0199,                 1.0987,                  1.452,             0.00050313,             0.00050313,             0.00050313
                     14,                0.61096,                0.87358,                 1.0226,                0.76667,                0.79278,                0.84317,                0.60129,                 1.0181,                 1.0789,                 1.4512,             0.00047564,             0.00047564,             0.00047564
                     15,                 0.6062,                0.82663,                 1.0173,                0.79302,                 0.8342,                0.88448,                0.65452,                0.93558,                0.92549,                 1.3714,             0.00044815,             0.00044815,             0.00044815
                     16,                0.59133,                0.80496,                  1.012,                0.81789,                0.86755,                0.90916,                0.68543,                 0.9687,                 0.9117,                 1.4115,             0.00042066,             0.00042066,             0.00042066
                     17,                0.57092,                0.76671,                 1.0003,                0.85814,                0.84543,                0.89844,                0.68244,                0.90296,                0.87645,                 1.3195,             0.00039318,             0.00039318,             0.00039318
                     18,                0.55934,                 0.7388,                0.99525,                0.81634,                0.85624,                 0.8951,                0.68463,                0.90735,                0.90626,                 1.3145,             0.00036569,             0.00036569,             0.00036569
                     19,                0.54403,                0.72667,                0.98454,                0.87669,                0.84034,                0.92165,                0.72261,                0.80181,                0.78353,                 1.2389,              0.0003382,              0.0003382,              0.0003382
                     20,                0.52745,                0.67679,                0.97576,                0.88047,                0.89124,                0.94095,                0.72538,                0.91015,                0.73732,                 1.3143,             0.00031071,             0.00031071,             0.00031071
                     21,                0.47488,                0.53566,                0.95635,                0.86322,                0.86661,                0.90607,                0.72888,                0.83348,                0.76745,                 1.2668,             0.00028322,             0.00028322,             0.00028322
                     22,                0.45343,                0.47095,                0.94956,                0.93029,                0.86823,                0.94647,                 0.7382,                0.81603,                0.68317,                 1.2768,             0.00025573,             0.00025573,             0.00025573
                     23,                0.43788,                0.43991,                0.93805,                0.87357,                0.88708,                0.93889,                 0.7564,                0.82903,                0.69121,                 1.2539,             0.00022824,             0.00022824,             0.00022824
                     24,                0.42105,                0.41368,                0.92138,                0.88021,                0.91782,                0.93951,                0.76605,                0.74713,                0.63959,                 1.1766,             0.00020075,             0.00020075,             0.00020075
                     25,                0.40785,                 0.3944,                0.91816,                0.87103,                0.92368,                0.93438,                0.77915,                0.72335,                0.59657,                 1.1504,             0.00017326,             0.00017326,             0.00017326
                     26,                0.38899,                0.36598,                0.90732,                0.88328,                0.96585,                0.95131,                0.79065,                0.70317,                0.55548,                 1.1388,             0.00014577,             0.00014577,             0.00014577
                     27,                0.37566,                0.34427,                0.90385,                0.93517,                  0.931,                 0.9656,                0.80777,                0.68541,                0.52756,                 1.1257,             0.00011829,             0.00011829,             0.00011829
                     28,                0.36368,                0.34165,                0.89966,                0.92197,                 0.9558,                0.96648,                0.81709,                 0.6573,                0.50096,                 1.1117,             9.0797e-05,             9.0797e-05,             9.0797e-05
                     29,                0.35514,                0.32493,                0.89701,                0.94459,                0.93538,                0.96901,                0.81947,                0.63527,                0.49558,                 1.0747,             6.3308e-05,             6.3308e-05,             6.3308e-05
                     30,                0.34449,                0.31165,                0.88669,                0.93715,                0.94349,                 0.9679,                0.82327,                0.63141,                 0.4828,                 1.0669,             3.5819e-05,             3.5819e-05,             3.5819e-05
