                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.92096,                 3.1317,                 1.2482,                0.33748,                0.35487,                0.31643,                0.17283,                 1.2558,                 2.6406,                 1.8948,             0.00027568,             0.00027568,             0.00027568
                      2,                0.91281,                 2.0937,                 1.2187,                0.28745,                0.47025,                0.30526,                0.17116,                 1.4677,                  2.515,                 2.0472,             0.00054787,             0.00054787,             0.00054787
                      3,                0.89327,                 1.8291,                  1.193,                0.32142,                0.51031,                0.37767,                0.20814,                  1.465,                 2.4316,                 1.9135,             0.00081456,             0.00081456,             0.00081456
                      4,                0.88854,                 1.6727,                  1.188,                0.40921,                0.35422,                0.35271,                0.20924,                 1.5046,                 2.3303,                 2.0092,             0.00080826,             0.00080826,             0.00080826
                      5,                0.85122,                 1.5279,                 1.1623,                 0.4927,                 0.4821,                0.49444,                0.27486,                 1.4095,                 2.0913,                 1.9092,             0.00080001,             0.00080001,             0.00080001
                      6,                0.81888,                 1.3892,                 1.1449,                0.53278,                0.58091,                0.57317,                0.36976,                 1.2086,                 1.7477,                 1.8238,             0.00079177,             0.00079177,             0.00079177
                      7,                0.77761,                 1.3175,                 1.1274,                0.63191,                0.49832,                0.58791,                 0.3522,                 1.1773,                 1.9735,                  1.772,             0.00078352,             0.00078352,             0.00078352
                      8,                 0.7739,                 1.2418,                 1.1149,                0.61915,                0.65966,                 0.6379,                0.38232,                 1.2551,                 1.7289,                 1.7373,             0.00077527,             0.00077527,             0.00077527
                      9,                0.73205,                 1.1544,                 1.0933,                0.52211,                0.66731,                0.67176,                0.46075,                 1.1068,                 1.6202,                 1.6299,             0.00076703,             0.00076703,             0.00076703
                     10,                0.71596,                 1.1208,                  1.086,                0.73007,                0.63771,                0.73232,                0.46622,                 1.2497,                  1.457,                 1.8097,             0.00075878,             0.00075878,             0.00075878
                     11,                0.72088,                 1.0756,                 1.0888,                0.71501,                0.64973,                0.73541,                0.51383,                 1.0779,                 1.2771,                 1.6942,             0.00075053,             0.00075053,             0.00075053
                     12,                  0.699,                 1.0221,                 1.0679,                0.72922,                0.73872,                0.81294,                0.55855,                 1.0007,                 1.2887,                 1.5117,             0.00074229,             0.00074229,             0.00074229
                     13,                 0.6898,                0.99398,                 1.0643,                0.81964,                0.73354,                0.81946,                0.56827,                 1.0724,                 1.1456,                 1.6281,             0.00073404,             0.00073404,             0.00073404
                     14,                0.66225,                0.95804,                 1.0524,                0.80669,                 0.7072,                0.83082,                0.57958,                 1.0609,                 1.0255,                 1.6032,             0.00072579,             0.00072579,             0.00072579
                     15,                0.65148,                0.92165,                 1.0433,                0.76156,                0.73933,                0.86328,                0.61594,                0.99985,                 1.0543,                 1.5061,             0.00071755,             0.00071755,             0.00071755
                     16,                 0.6386,                 0.8857,                 1.0328,                0.79049,                0.78882,                0.84827,                0.61626,                0.97937,                0.93058,                 1.5027,              0.0007093,              0.0007093,              0.0007093
                     17,                0.64226,                0.87125,                 1.0368,                0.82887,                0.75933,                0.85468,                0.61517,                0.94876,                0.97035,                  1.458,             0.00070105,             0.00070105,             0.00070105
                     18,                0.61921,                0.82938,                 1.0251,                0.85894,                0.75898,                0.87464,                0.64134,                0.88927,                0.98583,                 1.3959,             0.00069281,             0.00069281,             0.00069281
                     19,                0.62003,                0.81673,                 1.0264,                 0.9202,                0.74994,                0.86563,                0.64773,                0.89992,                0.95492,                 1.3855,             0.00068456,             0.00068456,             0.00068456
