                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0551,                 3.5319,                 1.4341,                0.24084,                0.28378,                0.19205,                0.09339,                 1.4551,                 2.8812,                 2.0003,             0.00027608,             0.00027608,             0.00027608
                      2,                 1.0738,                 2.7687,                 1.4248,                0.31376,                0.35518,                0.31595,                0.15298,                 1.4753,                 2.4342,                 2.0025,             0.00053547,             0.00053547,             0.00053547
                      3,                 1.0622,                 2.3745,                 1.4092,                0.44569,                0.43437,                0.41733,                0.21167,                 1.3846,                 2.3666,                 1.8718,             0.00077654,             0.00077654,             0.00077654
                      4,                 1.0613,                 2.1076,                 1.3927,                0.46536,                0.41983,                0.43007,                 0.2446,                 1.2947,                 2.3187,                  1.798,             0.00075053,             0.00075053,             0.00075053
                      5,                  1.019,                 1.9352,                  1.355,                0.37158,                 0.4483,                 0.3892,                0.22601,                 1.3536,                 2.1359,                 1.8649,             0.00072304,             0.00072304,             0.00072304
                      6,                0.96806,                  1.759,                 1.3227,                0.51817,                0.53356,                0.51559,                0.30397,                 1.2415,                 1.9388,                  1.704,             0.00069556,             0.00069556,             0.00069556
                      7,                0.95315,                 1.6391,                 1.2977,                0.50843,                0.54772,                0.54379,                0.34649,                 1.2022,                 1.8902,                  1.681,             0.00066807,             0.00066807,             0.00066807
                      8,                0.90602,                 1.5219,                 1.2793,                0.67938,                0.50511,                0.58789,                0.39232,                  1.231,                 1.6906,                 1.6747,             0.00064058,             0.00064058,             0.00064058
                      9,                0.90334,                 1.4881,                 1.2824,                0.54584,                0.59993,                 0.6009,                0.39523,                 1.1535,                 1.6727,                  1.596,             0.00061309,             0.00061309,             0.00061309
                     10,                0.87967,                 1.4075,                  1.254,                0.68041,                0.54868,                 0.6495,                0.42087,                 1.1985,                 1.5134,                 1.6148,              0.0005856,              0.0005856,              0.0005856
                     11,                 0.8433,                 1.3398,                 1.2269,                0.69085,                0.53022,                0.63692,                0.40258,                 1.2174,                 1.6278,                 1.6868,             0.00055811,             0.00055811,             0.00055811
                     12,                0.83432,                 1.2855,                 1.2194,                0.65004,                0.67886,                0.69806,                0.47259,                 1.1719,                 1.4055,                 1.6042,             0.00053062,             0.00053062,             0.00053062
                     13,                0.81396,                 1.2095,                 1.2017,                0.61653,                0.66977,                0.70604,                0.49139,                 1.1025,                 1.3815,                  1.513,             0.00050313,             0.00050313,             0.00050313
                     14,                0.78541,                 1.1607,                 1.1827,                0.69678,                0.68213,                0.70596,                0.47522,                 1.1599,                 1.3983,                 1.6054,             0.00047564,             0.00047564,             0.00047564
